================================================================================
CRAWLER V2
================================================================================
Fuente: ASFI / Finrural
URL configurada: https://www.asfi.gob.bo
Timeout HTTP: 15 s
Pausa HTTP:   aleatoria 0.30s - 0.90s


Resolución de fuente:
  Original: https://www.asfi.gob.bo
  Utilizada: https://www.asfi.gob.bo/
  Fallback: sí
  Intentos: 1
    - usable         | HTTP=200 | https://www.asfi.gob.bo/

URL de trabajo: https://www.asfi.gob.bo/
Seeds: 1
Máx páginas: 10000
Máx archivos: 100000
Máx profundidad: 20

[FULL_10_ASFI_FINRURAL] t=  64.7s | pag= 51 | files=  78 | data=  5 | cola= 203 | prio=10 | https://www.asfi.gob.bo/node/986
[FULL_10_ASFI_FINRURAL] t=  65.3s | pag= 52 | files=  80 | data=  5 | cola= 202 | prio=10 | https://www.asfi.gob.bo/node/989
[FULL_10_ASFI_FINRURAL] t=  65.7s | pag= 53 | files=  82 | data=  5 | cola= 201 | prio=10 | https://www.asfi.gob.bo/node/992
[FULL_10_ASFI_FINRURAL] t=  66.3s | pag= 54 | files=  84 | data=  5 | cola= 200 | prio=10 | https://www.asfi.gob.bo/pagina-lista-boletines?page=0
[FULL_10_ASFI_FINRURAL] t=  67.2s | pag= 55 | files=  84 | data=  5 | cola= 199 | prio=50 | https://www.asfi.gob.bo/pagina-memoria-institucional
[FULL_10_ASFI_FINRURAL] t=  68.0s | pag= 56 | files=  94 | data=  5 | cola= 201 | prio=40 | https://www.asfi.gob.bo/pagina-memoria-institucional?page=1
[FULL_10_ASFI_FINRURAL] t=  69.0s | pag= 57 | files= 104 | data=  5 | cola= 201 | prio=40 | https://www.asfi.gob.bo/pagina-memoria-institucional?page=2
[FULL_10_ASFI_FINRURAL] t=  69.7s | pag= 58 | files= 114 | data=  5 | cola= 200 | prio=40 | https://www.asfi.gob.bo/pagina-memoria-institucional?page=3
[FULL_10_ASFI_FINRURAL] t=  70.2s | pag= 59 | files= 120 | data=  5 | cola= 199 | prio=40 | https://www.asfi.gob.bo/pagina-memoria-institucional?page=0
[FULL_10_ASFI_FINRURAL] t=  70.7s | pag= 60 | files= 120 | data=  5 | cola= 198 | prio=50 | https://www.asfi.gob.bo/pb/objetivos-institucionales
[FULL_10_ASFI_FINRURAL] t=  71.5s | pag= 61 | files= 120 | data=  5 | cola= 197 | prio=50 | https://www.asfi.gob.bo/pb/informacion-mae
[FULL_10_ASFI_FINRURAL] t=  72.1s | pag= 62 | files= 120 | data=  5 | cola= 196 | prio=50 | https://www.asfi.gob.bo/la/politica-calidad
[FULL_10_ASFI_FINRURAL] t=  72.7s | pag= 63 | files= 120 | data=  5 | cola= 195 | prio=50 | https://www.asfi.gob.bo/pb/plan-estrategico-institucional-pei
[FULL_10_ASFI_FINRURAL] t=  73.3s | pag= 64 | files= 121 | data=  5 | cola= 194 | prio=50 | https://www.asfi.gob.bo/pagina-poa
[FULL_10_ASFI_FINRURAL] t=  74.1s | pag= 65 | files= 124 | data=  5 | cola= 195 | prio=50 | https://www.asfi.gob.bo/la/seguimiento-y-evaluacion-al-poa
[FULL_10_ASFI_FINRURAL] t=  74.5s | pag= 66 | files= 150 | data=  5 | cola= 194 | prio=50 | https://www.asfi.gob.bo/la/mapa-procesos
[FULL_10_ASFI_FINRURAL] t=  75.1s | pag= 67 | files= 151 | data=  5 | cola= 193 | prio=50 | https://www.asfi.gob.bo/pb/plan-implementacion-software-libre-y-estandares-abiertos-pislea
[FULL_10_ASFI_FINRURAL] t=  75.5s | pag= 68 | files= 152 | data=  5 | cola= 192 | prio=50 | https://www.asfi.gob.bo/presupuesto-institucional
[FULL_10_ASFI_FINRURAL] t=  76.1s | pag= 69 | files= 154 | data=  5 | cola= 191 | prio=50 | https://www.asfi.gob.bo/pb/ejecucion-presupuestaria
[FULL_10_ASFI_FINRURAL] t=  76.6s | pag= 70 | files= 155 | data=  5 | cola= 190 | prio=50 | https://www.asfi.gob.bo/pb/fuentes-financiamiento
[FULL_10_ASFI_FINRURAL] t=  77.1s | pag= 71 | files= 158 | data=  5 | cola= 189 | prio=50 | https://www.asfi.gob.bo/la/balance-general
[FULL_10_ASFI_FINRURAL] t=  78.3s | pag= 72 | files= 164 | data=  5 | cola= 188 | prio=50 | https://www.asfi.gob.bo/auditorias
[FULL_10_ASFI_FINRURAL] t=  79.2s | pag= 73 | files= 206 | data=  5 | cola= 191 | prio=40 | https://www.asfi.gob.bo/auditorias?page=1
[FULL_10_ASFI_FINRURAL] t=  80.1s | pag= 74 | files= 279 | data=  5 | cola= 191 | prio=40 | https://www.asfi.gob.bo/auditorias?page=2
[FULL_10_ASFI_FINRURAL] t=  80.8s | pag= 75 | files= 338 | data=  5 | cola= 190 | prio=40 | https://www.asfi.gob.bo/auditorias?page=3
