================================================================================
CRAWLER V2
================================================================================
Fuente: Autoridad de Supervisión del Sistema Financiero
URL configurada: https://www.asfi.gob.bo/
Timeout HTTP: 15 s
Pausa HTTP:   aleatoria 0.30s - 0.90s


Resolución de fuente:
  Original: https://www.asfi.gob.bo/
  Utilizada: https://www.asfi.gob.bo/
  Fallback: no
  Intentos: 1
    - usable         | HTTP=200 | https://www.asfi.gob.bo/

URL de trabajo: https://www.asfi.gob.bo/
Seeds: 5
Máx páginas: 10000
Máx archivos: 100000
Máx profundidad: 20

[ASFI] t= 127.8s | pag=108 | files= 540 | data=  2 | cola= 219 | prio=40 | https://www.asfi.gob.bo/convocatorias?page=3
[ASFI] t= 128.7s | pag=109 | files= 550 | data=  2 | cola= 219 | prio=40 | https://www.asfi.gob.bo/convocatorias?page=9
[ASFI] t= 129.1s | pag=110 | files= 560 | data=  2 | cola= 218 | prio=40 | https://www.asfi.gob.bo/convocatorias?page=8
[ASFI] t= 129.8s | pag=111 | files= 570 | data=  2 | cola= 218 | prio=40 | https://www.asfi.gob.bo/convocatorias?page=4
[ASFI] t= 130.3s | pag=112 | files= 580 | data=  2 | cola= 218 | prio=40 | https://www.asfi.gob.bo/convocatorias?page=7
[ASFI] t= 131.8s | pag=113 | files= 590 | data=  2 | cola= 218 | prio=40 | https://www.asfi.gob.bo/convocatorias?page=5
[ASFI] t= 132.0s | pag=114 | files= 600 | data=  2 | cola= 217 | prio=40 | https://www.asfi.gob.bo/convocatorias?page=6
[ASFI] t= 132.9s | pag=115 | files= 610 | data=  2 | cola= 216 | prio=50 | https://www.asfi.gob.bo/proveedores
[ASFI] t= 133.7s | pag=116 | files= 612 | data=  2 | cola= 215 | prio=50 | https://www.asfi.gob.bo/pb/programa-anual-contrataciones
[ASFI] t= 134.1s | pag=117 | files= 614 | data=  2 | cola= 214 | prio=50 | https://www.asfi.gob.bo/la/normativa-internacional
[ASFI] t= 135.0s | pag=118 | files= 614 | data=  2 | cola= 213 | prio=50 | https://www.asfi.gob.bo/pb/reglamentos-vigentes
[ASFI] t= 135.5s | pag=119 | files= 622 | data=  2 | cola= 212 | prio=50 | https://www.asfi.gob.bo/pb/servicios-financieros
[ASFI] t= 136.4s | pag=120 | files= 623 | data=  2 | cola= 213 | prio=10 | https://www.asfi.gob.bo/node/402
[ASFI] t= 137.2s | pag=121 | files= 624 | data=  2 | cola= 212 | prio=50 | https://www.asfi.gob.bo/pb/registro-suscriptores-al-servicio-comunicacion
[ASFI] t= 138.0s | pag=122 | files= 624 | data=  2 | cola= 211 | prio=50 | https://www.asfi.gob.bo/pb/legislacion-y-disposiciones-para-regulados
[ASFI] t= 138.9s | pag=123 | files= 624 | data=  2 | cola= 217 | prio=50 | https://www.asfi.gob.bo/pb/decretos
[ASFI] t= 140.6s | pag=124 | files= 701 | data=  2 | cola= 216 | prio=50 | https://www.asfi.gob.bo/pb/normativa-nacional
[ASFI] t= 141.5s | pag=125 | files= 718 | data=  2 | cola= 215 | prio=50 | https://www.asfi.gob.bo/pb/registro-y-seguimiento-reclamos
[ASFI] t= 141.8s | pag=126 | files= 718 | data=  2 | cola= 214 | prio=50 | https://www.asfi.gob.bo/la/derechos-del-consumidor-financiero
[ASFI] t= 142.7s | pag=127 | files= 718 | data=  2 | cola= 213 | prio=50 | https://www.asfi.gob.bo/la/cajeros-automaticos-para-personas-discapacidad
[ASFI] t= 143.6s | pag=128 | files= 720 | data=  2 | cola= 212 | prio=50 | https://www.asfi.gob.bo/la/lineamientos-para-enif
[ASFI] t= 144.2s | pag=129 | files= 721 | data=  2 | cola= 211 | prio=50 | https://asfidigital.asfi.gob.bo/inicio
[ASFI] t= 144.9s | pag=130 | files= 721 | data=  2 | cola= 210 | prio=50 | https://www.asfi.gob.bo/pb/contratos-modelo-para-servicios-financieros
[ASFI] t= 145.7s | pag=131 | files= 721 | data=  2 | cola= 209 | prio=50 | https://asfi.gob.bo/la/tarifarios
[ASFI] DATASETS=3 | data_html_table | https://asfi.gob.bo/la/tarifarios
[ASFI] t= 169.9s | pag=132 | files= 739 | data=  3 | cola= 293 | prio= 2 | https://asfi.gob.bo/la/mercado-valores
[ASFI] t= 170.3s | pag=133 | files= 739 | data=  3 | cola= 292 | prio= 2 | https://asfi.gob.bo/pb/publicaciones-0
[ASFI] t= 170.9s | pag=134 | files= 739 | data=  3 | cola= 293 | prio= 2 | https://asfi.gob.bo/pb/publicaciones-1
[ASFI] t= 171.7s | pag=135 | files= 739 | data=  3 | cola= 295 | prio= 2 | https://asfi.gob.bo/pb/registro-mercado-valores
[ASFI] t= 172.3s | pag=136 | files= 739 | data=  3 | cola= 296 | prio= 2 | https://asfi.gob.bo/pb/publicaciones-2
