================================================================================
CRAWLER V2
================================================================================
Fuente: Fundación para el Desarrollo Tecnológico Agropecuario de los Valles
URL configurada: https://www.icco.org
Timeout HTTP: 15 s
Pausa HTTP:   aleatoria 0.30s - 0.90s


Resolución de fuente:
  Original: https://www.icco.org
  Utilizada: https://www.icco.org/
  Fallback: sí
  Intentos: 1
    - usable         | HTTP=200 | https://www.icco.org/

URL de trabajo: https://www.icco.org/
Seeds: 1
Máx páginas: 10000
Máx archivos: 100000
Máx profundidad: 20

[FULL_26_FDTA_VALLES] t=   0.0s | pag=  0 | files=   0 | data=  0 | cola=   0 | prio= 0 | https://www.icco.org/
[FULL_26_FDTA_VALLES] t=  60.1s | pag= 31 | files=  17 | data=  7 | cola=  66 | prio=50 | https://icco.org/who-we-are/governance/
[FULL_26_FDTA_VALLES] t=  61.9s | pag= 31 | files=  17 | data=  7 | cola=  65 | prio=50 | https://www.icco.org/who-we-are/agreements/
[FULL_26_FDTA_VALLES] t=  64.9s | pag= 32 | files=  20 | data=  7 | cola=  79 | prio=10 | https://icco.org/about-us/international-cocoa-agreements/doc_download/251-arabic-international-cocoa-agreement-2010.html
[FULL_26_FDTA_VALLES] t=  66.8s | pag= 32 | files=  20 | data=  7 | cola=  78 | prio=10 | https://icco.org/about-us/international-cocoa-agreements/doc_download/250-chinese-international-cocoa-agreement-2010.html
[FULL_26_FDTA_VALLES] t=  70.1s | pag= 32 | files=  20 | data=  7 | cola=  77 | prio=10 | https://icco.org/about-us/international-cocoa-agreements/doc_download/6-english-2010-international-cocoa-agreement.html
[FULL_26_FDTA_VALLES] t=  73.2s | pag= 32 | files=  20 | data=  7 | cola=  76 | prio=10 | https://icco.org/about-us/international-cocoa-agreements/doc_download/7-french-2010-international-cocoa-agreement.html
[FULL_26_FDTA_VALLES] t=  76.1s | pag= 32 | files=  20 | data=  7 | cola=  75 | prio=10 | https://icco.org/about-us/international-cocoa-agreements/doc_download/8-russian-2010-international-cocoa-agreement.html
[FULL_26_FDTA_VALLES] t=  78.8s | pag= 32 | files=  20 | data=  7 | cola=  74 | prio=10 | https://icco.org/about-us/international-cocoa-agreements/doc_download/9-spanish-2010-international-cocoa-agreement.html
[FULL_26_FDTA_VALLES] t=  81.9s | pag= 32 | files=  20 | data=  7 | cola=  73 | prio=10 | https://icco.org/about-us/international-cocoa-agreements/doc_download/2-english-2001-international-cocoa-agreement.html
[FULL_26_FDTA_VALLES] t=  84.5s | pag= 32 | files=  20 | data=  7 | cola=  72 | prio=10 | https://icco.org/about-us/international-cocoa-agreements/doc_download/3-french-2001-international-cocoa-agreement.html
[FULL_26_FDTA_VALLES] t=  87.3s | pag= 32 | files=  20 | data=  7 | cola=  71 | prio=10 | https://icco.org/about-us/international-cocoa-agreements/doc_download/4-russian-2001-international-cocoa-agreement.html
[FULL_26_FDTA_VALLES] t=  90.0s | pag= 32 | files=  20 | data=  7 | cola=  70 | prio=10 | https://icco.org/about-us/international-cocoa-agreements/doc_download/5-spanish-2001-international-cocoa-agreement.html
[FULL_26_FDTA_VALLES] t=  93.0s | pag= 32 | files=  20 | data=  7 | cola=  69 | prio=10 | https://icco.org/about-us/international-cocoa-agreements/doc_download/10-english-1993-international-cocoa-agreement.html
[FULL_26_FDTA_VALLES] t=  96.0s | pag= 32 | files=  20 | data=  7 | cola=  68 | prio=10 | https://icco.org/about-us/international-cocoa-agreements/doc_download/11-french-1993-international-cocoa-agreement.html
[FULL_26_FDTA_VALLES] t=  98.8s | pag= 32 | files=  20 | data=  7 | cola=  67 | prio=10 | https://icco.org/about-us/international-cocoa-agreements/doc_download/12-russian-1993-international-cocoa-agreement.html
[FULL_26_FDTA_VALLES] t= 101.4s | pag= 32 | files=  20 | data=  7 | cola=  66 | prio=10 | https://icco.org/about-us/international-cocoa-agreements/doc_download/13-spanish-1993-international-cocoa-agreement.html
[FULL_26_FDTA_VALLES] t= 104.2s | pag= 32 | files=  20 | data=  7 | cola=  65 | prio=50 | https://icco.org/about-us/agreements/
[FULL_26_FDTA_VALLES] t= 107.2s | pag= 32 | files=  20 | data=  7 | cola=  64 | prio=50 | https://www.icco.org/who-we-are/membership/
[FULL_26_FDTA_VALLES] t= 109.7s | pag= 33 | files=  20 | data=  7 | cola=  64 | prio=50 | https://icco.org/about-us/membership/
[FULL_26_FDTA_VALLES] t= 111.6s | pag= 33 | files=  20 | data=  7 | cola=  63 | prio=50 | https://www.icco.org/economy/
[FULL_26_FDTA_VALLES] t= 114.4s | pag= 34 | files=  20 | data=  7 | cola=  67 | prio=10 | https://www.icco.org/shop/quarterly-bulletin-of-cocoa-statistics-english/
[FULL_26_FDTA_VALLES] t= 116.2s | pag= 35 | files=  20 | data=  7 | cola=  72 | prio=10 | https://icco.org/february-2020-quarterly-bulletin-of-cocoa-statistics/
[FULL_26_FDTA_VALLES] DATASETS=8 | data_html_table | https://www.icco.org/february-2020-quarterly-bulletin-of-cocoa-statistics/
[FULL_26_FDTA_VALLES] t= 118.2s | pag= 36 | files=  20 | data=  8 | cola=  72 | prio=10 | https://www.icco.org/shop/quarterly-bulletin-of-cocoa-statistics-english/?s=
[FULL_26_FDTA_VALLES] t= 119.5s | pag= 37 | files=  20 | data=  8 | cola=  71 | prio=10 | https://www.icco.org/shop/quarterly-bulletin-of-cocoa-statistics-russian/
[FULL_26_FDTA_VALLES] t= 120.8s | pag= 38 | files=  20 | data=  8 | cola=  71 | prio=10 | https://www.icco.org/shop/25-26-icco-publications-annual-subscription/
[FULL_26_FDTA_VALLES] t= 122.4s | pag= 39 | files=  20 | data=  8 | cola=  71 | prio=10 | https://www.icco.org/shop/boletin-estadisticas-cacao/
[FULL_26_FDTA_VALLES] t= 124.1s | pag= 40 | files=  20 | data=  8 | cola=  71 | prio=10 | https://www.icco.org/shop/bulletin-statistiques-cacao/
[FULL_26_FDTA_VALLES] t= 125.8s | pag= 41 | files=  20 | data=  8 | cola=  71 | prio=10 | https://www.icco.org/february-2020-quarterly-bulletin-of-cocoa-statistics/?s=
[FULL_26_FDTA_VALLES] t= 127.7s | pag= 42 | files=  20 | data=  8 | cola=  70 | prio=10 | https://www.icco.org/shop/quarterly-bulletin-of-cocoa-statistics-russian/?s=
[FULL_26_FDTA_VALLES] t= 129.6s | pag= 43 | files=  20 | data=  8 | cola=  69 | prio=10 | https://www.icco.org/shop/25-26-icco-publications-annual-subscription/?s=
[FULL_26_FDTA_VALLES] t= 130.9s | pag= 44 | files=  20 | data=  8 | cola=  68 | prio=10 | https://www.icco.org/shop/boletin-estadisticas-cacao/?s=
[FULL_26_FDTA_VALLES] t= 132.7s | pag= 45 | files=  20 | data=  8 | cola=  67 | prio=10 | https://www.icco.org/shop/bulletin-statistiques-cacao/?s=
[FULL_26_FDTA_VALLES] t= 134.2s | pag= 46 | files=  20 | data=  8 | cola=  66 | prio=50 | https://www.icco.org/projects/
[FULL_26_FDTA_VALLES] t= 135.8s | pag= 47 | files=  20 | data=  8 | cola=  90 | prio=10 | https://www.icco.org/cocoa-of-excellence-promoting-diverse-high-quality-cocoa-origins/
[FULL_26_FDTA_VALLES] t= 137.3s | pag= 48 | files=  21 | data=  8 | cola=  91 | prio=10 | https://www.icco.org/caribbean-cocoa-renaissance-improving-cocoa-quality-and-market-access-with-cocoa-of-excellence-coex/
[FULL_26_FDTA_VALLES] DATASETS=9 | data_html_table | https://www.icco.org/caribbean-cocoa-renaissance-improving-cocoa-quality-and-market-access-with-cocoa-of-excellence-coex/
[FULL_26_FDTA_VALLES] t= 138.7s | pag= 49 | files=  21 | data=  9 | cola=  91 | prio=10 | https://www.icco.org/cocoa-of-excellence-promoting-diverse-high-quality-cocoa-origins/?s=
[FULL_26_FDTA_VALLES] t= 140.3s | pag= 50 | files=  21 | data=  9 | cola=  90 | prio=10 | https://www.icco.org/caribbean-cocoa-renaissance-improving-cocoa-quality-and-market-access-with-cocoa-of-excellence-coex/?s=
[FULL_26_FDTA_VALLES] t= 142.0s | pag= 51 | files=  21 | data=  9 | cola=  89 | prio=50 | https://www.icco.org/growing-cocoa/
[FULL_26_FDTA_VALLES] t= 143.9s | pag= 52 | files=  21 | data=  9 | cola=  90 | prio=50 | https://www.icco.org/harvesting-post-harvest-new/
[FULL_26_FDTA_VALLES] t= 146.1s | pag= 53 | files=  21 | data=  9 | cola=  90 | prio=50 | https://www.icco.org/processing-cocoa/
[FULL_26_FDTA_VALLES] t= 147.9s | pag= 54 | files=  21 | data=  9 | cola=  90 | prio=50 | https://www.icco.org/trading-shipping/
[FULL_26_FDTA_VALLES] t= 150.2s | pag= 55 | files=  21 | data=  9 | cola=  90 | prio=50 | https://www.icco.org/health/
[FULL_26_FDTA_VALLES] t= 152.0s | pag= 56 | files=  21 | data=  9 | cola=  90 | prio=50 | https://www.icco.org/chocolate-industry/
[FULL_26_FDTA_VALLES] t= 154.4s | pag= 57 | files=  21 | data=  9 | cola=  90 | prio=50 | https://www.icco.org/fine-or-flavor-cocoa/
[FULL_26_FDTA_VALLES] t= 155.5s | pag= 58 | files=  35 | data=  9 | cola=  93 | prio=50 | https://www.icco.org/pests-diseases/
[FULL_26_FDTA_VALLES] t= 156.7s | pag= 59 | files=  35 | data=  9 | cola=  93 | prio=50 | https://www.icco.org/cocoa-sustainability-initiatives-landscape/
[FULL_26_FDTA_VALLES] t= 158.3s | pag= 60 | files=  35 | data=  9 | cola=  93 | prio=50 | https://www.icco.org/faq/
[FULL_26_FDTA_VALLES] t= 160.0s | pag= 61 | files=  35 | data=  9 | cola=  94 | prio=50 | https://www.icco.org/icco-documentation/
