================================================================================
CRAWLER V2
================================================================================
Fuente: APS - Seguros SOAT
URL configurada: https://www.aps.gob.bo
Timeout HTTP: 15 s
Pausa HTTP:   aleatoria 0.30s - 0.90s


Resolución de fuente:
  Original: https://www.aps.gob.bo
  Utilizada: https://www.aps.gob.bo/
  Fallback: sí
  Intentos: 1
    - usable         | HTTP=200 | https://www.aps.gob.bo/

URL de trabajo: https://www.aps.gob.bo/
Seeds: 1
Máx páginas: 10000
Máx archivos: 100000
Máx profundidad: 20

[FULL_7_APS_SOAT] t=  98.2s | pag=101 | files= 878 | data=  1 | cola=  13 | prio=50 | https://www.aps.gob.bo/index.php?id=74&option=com_sppagebuilder&view=page
[FULL_7_APS_SOAT] t=  99.5s | pag=102 | files= 878 | data=  1 | cola=  12 | prio=50 | https://www.aps.gob.bo/images/dossier/dossier.html
[FULL_7_APS_SOAT] t= 100.1s | pag=103 | files= 878 | data=  1 | cola=  19 | prio=50 | http://www.aps.gob.bo/
[FULL_7_APS_SOAT] t= 100.7s | pag=103 | files= 878 | data=  1 | cola=  18 | prio=50 | https://www.aps.gob.bo/pages/dossierv2/dossier.html
[FULL_7_APS_SOAT] t= 102.0s | pag=104 | files= 878 | data=  1 | cola=  22 | prio=50 | https://www.aps.gob.bo/images/dossier/01-prestaciones.html
[FULL_7_APS_SOAT] t= 102.8s | pag=105 | files= 894 | data=  1 | cola=  22 | prio=50 | https://www.aps.gob.bo/images/dossier/02-riesgos.html
[FULL_7_APS_SOAT] t= 103.1s | pag=106 | files= 899 | data=  1 | cola=  22 | prio=50 | https://www.aps.gob.bo/images/dossier/03-afiliaciones.html
[FULL_7_APS_SOAT] t= 103.8s | pag=107 | files= 917 | data=  1 | cola=  21 | prio=50 | https://www.aps.gob.bo/images/dossier/04-recaudaciones.html
[FULL_7_APS_SOAT] t= 104.3s | pag=108 | files= 919 | data=  1 | cola=  20 | prio=50 | https://www.aps.gob.bo/images/dossier/05-mora.html
[FULL_7_APS_SOAT] t= 105.1s | pag=109 | files= 923 | data=  1 | cola=  19 | prio=50 | https://www.aps.gob.bo/images/dossier/06-inversiones.html
[FULL_7_APS_SOAT] t= 105.7s | pag=110 | files= 933 | data=  1 | cola=  19 | prio=50 | https://www.aps.gob.bo/images/dossier/07-contable.html
[FULL_7_APS_SOAT] t= 106.4s | pag=111 | files= 935 | data=  1 | cola=  18 | prio=50 | https://www.aps.gob.bo/images/dossier/08-solidario.html
[FULL_7_APS_SOAT] t= 107.1s | pag=112 | files= 937 | data=  1 | cola=  17 | prio=50 | https://www.aps.gob.bo/pages/dossierv2/01-prestaciones.html
[FULL_7_APS_SOAT] t= 107.9s | pag=113 | files= 947 | data=  1 | cola=  17 | prio=50 | https://www.aps.gob.bo/pages/dossierv2/02-renta-dignidad.html
[FULL_7_APS_SOAT] t= 108.2s | pag=114 | files= 955 | data=  1 | cola=  17 | prio=50 | https://www.aps.gob.bo/pages/dossierv2/03-riegos.html
[FULL_7_APS_SOAT] t= 109.0s | pag=115 | files= 963 | data=  1 | cola=  17 | prio=50 | https://www.aps.gob.bo/pages/dossierv2/04-aseguramiento.html
[FULL_7_APS_SOAT] t= 109.8s | pag=116 | files= 975 | data=  1 | cola=  17 | prio=50 | https://www.aps.gob.bo/pages/dossierv2/dossier2.html
[FULL_7_APS_SOAT] t= 110.5s | pag=117 | files= 975 | data=  1 | cola=  20 | prio=50 | https://www.aps.gob.bo/images/dossier/01-prestaciones2.html
[FULL_7_APS_SOAT] t= 111.4s | pag=118 | files= 983 | data=  1 | cola=  19 | prio=50 | https://www.aps.gob.bo/images/webdocs/UNE/DOSSIER/02.%20RIESGOS/PDF/2.1.3%20RIESGOS%20LA%20VITALICIA%20SEGUROS%20Y%20REASEGUROS%20DE%20VIDA%20S.Apdf
[FULL_7_APS_SOAT] t= 112.1s | pag=118 | files= 983 | data=  1 | cola=  18 | prio=50 | https://www.aps.gob.bo/images/dossier/06-inversiones2.html
[FULL_7_APS_SOAT] t= 113.4s | pag=119 | files= 989 | data=  1 | cola=  17 | prio=50 | https://www.aps.gob.bo/pages/dossierv2/01-prestaciones2.html
[FULL_7_APS_SOAT] t= 113.7s | pag=120 | files= 992 | data=  1 | cola=  16 | prio=50 | https://www.aps.gob.bo/pages/dossierv2/02-renta-dignidad2.html
[FULL_7_APS_SOAT] t= 114.4s | pag=121 | files= 996 | data=  1 | cola=  16 | prio=50 | https://www.aps.gob.bo/pages/dossierv2/03-riegos2.html
[FULL_7_APS_SOAT] t= 115.1s | pag=122 | files= 998 | data=  1 | cola=  15 | prio=50 | https://www.aps.gob.bo/pages/dossierv2/04-aseguramiento2.html
[FULL_7_APS_SOAT] t= 115.6s | pag=123 | files=1004 | data=  1 | cola=  14 | prio=50 | https://www.aps.gob.bo/pages/dossierv2/05-cotizaciones.html
[FULL_7_APS_SOAT] t= 116.2s | pag=124 | files=1015 | data=  1 | cola=  13 | prio=50 | https://www.aps.gob.bo/pages/dossierv2/06-recaudaciones.html
[FULL_7_APS_SOAT] t= 117.0s | pag=125 | files=1017 | data=  1 | cola=  12 | prio=50 | https://www.aps.gob.bo/pages/dossierv2/07-mora.html
[FULL_7_APS_SOAT] t= 117.9s | pag=126 | files=1020 | data=  1 | cola=  11 | prio=50 | https://www.aps.gob.bo/pages/dossierv2/08-inversiones.html
[FULL_7_APS_SOAT] t= 118.7s | pag=127 | files=1036 | data=  1 | cola=  11 | prio=50 | https://www.aps.gob.bo/pages/dossierv2/02-renta-dignidad3.html
[FULL_7_APS_SOAT] t= 119.1s | pag=128 | files=1042 | data=  1 | cola=  11 | prio=50 | https://www.aps.gob.bo/pages/dossierv2/09-informacion.html
[FULL_7_APS_SOAT] t= 119.8s | pag=129 | files=1046 | data=  1 | cola=  10 | prio=50 | https://www.aps.gob.bo/pages/dossierv2/02-renta-dignidad4.html
[FULL_7_APS_SOAT] t= 120.3s | pag=130 | files=1052 | data=  1 | cola=  10 | prio=50 | https://www.aps.gob.bo/pages/dossierv2/02-renta-dignidad5.html
[FULL_7_APS_SOAT] t= 120.9s | pag=131 | files=1058 | data=  1 | cola=   9 | prio=70 | https://www.aps.gob.bo/index.php/institucional/acerca-de-aps/mision-vision
[FULL_7_APS_SOAT] t= 121.8s | pag=132 | files=1058 | data=  1 | cola=   8 | prio=70 | https://www.aps.gob.bo/index.php/transparencia/unidad-de-transparencia-y-lucha-contra-la-corrupcion
[FULL_7_APS_SOAT] t= 122.8s | pag=133 | files=1058 | data=  1 | cola=   7 | prio=70 | https://www.aps.gob.bo/index.php/transparencia/normativa
