================================================================================
CRAWLER V2
================================================================================
Fuente: Banco Central de Bolivia
URL configurada: https://www.bcb.gob.bo/
Timeout HTTP: 15 s
Pausa HTTP:   aleatoria 0.30s - 0.90s


Resolución de fuente:
  Original: https://www.bcb.gob.bo/
  Utilizada: https://www.bcb.gob.bo/
  Fallback: no
  Intentos: 1
    - usable         | HTTP=200 | https://www.bcb.gob.bo/

URL de trabajo: https://www.bcb.gob.bo/
Seeds: 1
Máx páginas: 10000
Máx archivos: 100000
Máx profundidad: 20

[BCB] t=   0.0s | pag=  0 | files=   0 | data=  0 | cola=   0 | prio= 0 | https://www.bcb.gob.bo/
[BCB] t= 447.5s | pag= 48 | files= 862 | data=  4 | cola= 197 | prio= 2 | https://www.bcb.gob.bo/?page=2&q=boletines-mensuales
[BCB] t= 449.0s | pag= 49 | files= 874 | data=  4 | cola= 196 | prio= 2 | https://www.bcb.gob.bo/?page=3&q=boletines-mensuales
[BCB] t= 450.7s | pag= 50 | files= 886 | data=  4 | cola= 195 | prio= 2 | https://www.bcb.gob.bo/?page=4&q=boletines-mensuales
[BCB] t= 452.0s | pag= 51 | files= 898 | data=  4 | cola= 194 | prio= 2 | https://www.bcb.gob.bo/?page=5&q=boletines-mensuales
[BCB] t= 453.2s | pag= 52 | files= 910 | data=  4 | cola= 194 | prio= 2 | https://www.bcb.gob.bo/?page=6&q=boletines-mensuales
[BCB] t= 454.7s | pag= 53 | files= 922 | data=  4 | cola= 194 | prio= 2 | https://www.bcb.gob.bo/?page=7&q=boletines-mensuales
[BCB] t= 456.0s | pag= 54 | files= 934 | data=  4 | cola= 194 | prio= 2 | https://www.bcb.gob.bo/?page=8&q=boletines-mensuales
[BCB] t= 457.3s | pag= 55 | files= 946 | data=  4 | cola= 194 | prio= 2 | https://www.bcb.gob.bo/?page=18&q=boletines-mensuales
[BCB] t= 458.9s | pag= 56 | files= 958 | data=  4 | cola= 198 | prio= 2 | https://www.bcb.gob.bo/?page=1&q=reporte-estadistico
[BCB] t= 460.4s | pag= 57 | files= 988 | data=  4 | cola= 197 | prio= 2 | https://www.bcb.gob.bo/?page=2&q=reporte-estadistico
[BCB] t= 462.2s | pag= 58 | files=1018 | data=  4 | cola= 196 | prio= 2 | https://www.bcb.gob.bo/?page=3&q=reporte-estadistico
[BCB] t= 463.5s | pag= 59 | files=1048 | data=  4 | cola= 195 | prio= 2 | https://www.bcb.gob.bo/?page=4&q=reporte-estadistico
[BCB] t= 464.9s | pag= 60 | files=1078 | data=  4 | cola= 194 | prio= 2 | https://www.bcb.gob.bo/?page=5&q=reporte-estadistico
[BCB] t= 466.3s | pag= 61 | files=1108 | data=  4 | cola= 194 | prio= 2 | https://www.bcb.gob.bo/?page=6&q=reporte-estadistico
[BCB] t= 468.2s | pag= 62 | files=1138 | data=  4 | cola= 194 | prio= 2 | https://www.bcb.gob.bo/?page=7&q=reporte-estadistico
[BCB] t= 469.4s | pag= 63 | files=1168 | data=  4 | cola= 194 | prio= 2 | https://www.bcb.gob.bo/?page=8&q=reporte-estadistico
[BCB] t= 470.9s | pag= 64 | files=1198 | data=  4 | cola= 194 | prio= 2 | https://www.bcb.gob.bo/?page=16&q=reporte-estadistico
[BCB] t= 472.5s | pag= 65 | files=1202 | data=  4 | cola= 196 | prio= 2 | https://www.bcb.gob.bo/?page=1&q=pub_serie-compendios-encuentro-economistas-bolivia
[BCB] t= 474.3s | pag= 66 | files=1205 | data=  4 | cola= 195 | prio= 2 | https://www.bcb.gob.bo/?q=servicios%2Fufv%2Ffaqs
[BCB] t= 475.7s | pag= 67 | files=1205 | data=  4 | cola= 195 | prio= 2 | https://www.bcb.gob.bo/?q=servicios%2Fufv%2Freglamentos
[BCB] t= 477.8s | pag= 67 | files=1205 | data=  4 | cola= 194 | prio= 2 | https://www.bcb.gob.bo/librerias/indicadores/ufv/ultimo.php
[BCB] t= 479.6s | pag= 68 | files=1205 | data=  4 | cola= 194 | prio= 2 | https://www.bcb.gob.bo/?q=indicadores_inflacion&qt-indicadores_de_inflaci_n=0
[BCB] DATASETS=5 | data_html_table | https://www.bcb.gob.bo/?q=indicadores_inflacion&qt-indicadores_de_inflaci_n=0
[BCB] t= 481.7s | pag= 69 | files=1205 | data=  5 | cola= 202 | prio= 2 | https://www.bcb.gob.bo/?q=indicadores_inflacion&qt-indicadores_de_inflaci_n=1
[BCB] DATASETS=6 | data_html_table | https://www.bcb.gob.bo/?q=indicadores_inflacion&qt-indicadores_de_inflaci_n=1
[BCB] t= 483.4s | pag= 70 | files=1205 | data=  6 | cola= 210 | prio= 2 | https://www.bcb.gob.bo/?page=1&q=indicadores_inflacion
[BCB] t= 485.2s | pag= 71 | files=1205 | data=  6 | cola= 209 | prio= 2 | https://www.bcb.gob.bo/?page=2&q=indicadores_inflacion
[BCB] t= 486.4s | pag= 72 | files=1205 | data=  6 | cola= 208 | prio= 2 | https://www.bcb.gob.bo/?page=3&q=indicadores_inflacion
[BCB] t= 487.8s | pag= 73 | files=1205 | data=  6 | cola= 207 | prio= 2 | https://www.bcb.gob.bo/?page=4&q=indicadores_inflacion
[BCB] t= 489.6s | pag= 74 | files=1205 | data=  6 | cola= 206 | prio= 2 | https://www.bcb.gob.bo/?page=5&q=indicadores_inflacion
[BCB] t= 491.4s | pag= 75 | files=1205 | data=  6 | cola= 206 | prio= 2 | https://www.bcb.gob.bo/?page=6&q=indicadores_inflacion
[BCB] t= 492.9s | pag= 76 | files=1205 | data=  6 | cola= 206 | prio= 2 | https://www.bcb.gob.bo/?page=7&q=indicadores_inflacion
[BCB] t= 494.6s | pag= 77 | files=1205 | data=  6 | cola= 206 | prio= 2 | https://www.bcb.gob.bo/?page=8&q=indicadores_inflacion
[BCB] t= 496.6s | pag= 78 | files=1205 | data=  6 | cola= 206 | prio= 2 | https://www.bcb.gob.bo/?page=18&q=indicadores_inflacion
[BCB] t= 498.3s | pag= 79 | files=1205 | data=  6 | cola= 210 | prio= 2 | https://www.bcb.gob.bo/?page=1&q=pub_boletin-estadistico
[BCB] t= 499.7s | pag= 80 | files=1215 | data=  6 | cola= 209 | prio= 2 | https://www.bcb.gob.bo/?page=2&q=pub_boletin-estadistico
[BCB] t= 501.1s | pag= 81 | files=1225 | data=  6 | cola= 208 | prio= 2 | https://www.bcb.gob.bo/?page=3&q=pub_boletin-estadistico
[BCB] t= 502.7s | pag= 82 | files=1235 | data=  6 | cola= 207 | prio= 2 | https://www.bcb.gob.bo/?page=4&q=pub_boletin-estadistico
