================================================================================
CRAWLER V2
================================================================================
Fuente: Banco Central de Bolivia
URL configurada: https://www.bcb.gob.bo/
Timeout HTTP: 15 s
Pausa HTTP:   aleatoria 0.30s - 0.90s


Resolución de fuente:
  Original: https://www.bcb.gob.bo/
  Utilizada: https://www.bcb.gob.bo/
  Fallback: no
  Intentos: 1
    - usable         | HTTP=200 | https://www.bcb.gob.bo/

URL de trabajo: https://www.bcb.gob.bo/
Seeds: 1
Máx páginas: 10000
Máx archivos: 100000
Máx profundidad: 20

[BCB] t=   0.0s | pag=  0 | files=   0 | data=  0 | cola=   0 | prio= 0 | https://www.bcb.gob.bo/
[BCB] DATASETS=3 | data_html_table | https://www.bcb.gob.bo/?q=indicadores_inflacion
[BCB] t=  34.1s | pag= 24 | files= 214 | data=  3 | cola= 186 | prio= 2 | https://www.bcb.gob.bo/?q=content%2Fverificador-de-n%C3%BAmero-de-serie
[BCB] t=  35.6s | pag= 25 | files= 214 | data=  3 | cola= 185 | prio= 2 | https://www.bcb.gob.bo/calculadora-ufv/
[BCB] t=  36.7s | pag= 26 | files= 214 | data=  3 | cola= 184 | prio= 2 | https://www.bcb.gob.bo/?q=encuesta_publicaciones
[BCB] t=  38.5s | pag= 27 | files= 214 | data=  3 | cola= 183 | prio= 2 | https://www.bcb.gob.bo/?q=pub_boletin-estadistico
[BCB] t=  39.9s | pag= 28 | files= 389 | data=  3 | cola= 190 | prio= 2 | https://www.bcb.gob.bo/?q=publicaciones_dtr
[BCB] t=  41.1s | pag= 29 | files= 399 | data=  3 | cola= 200 | prio= 2 | https://www.bcb.gob.bo/?q=pub_documentos-trabajo
[BCB] DATASETS=4 | exportable_data_page | https://www.bcb.gob.bo/?q=pub_documentos-trabajo
[BCB] t=  42.1s | pag= 30 | files= 429 | data=  4 | cola= 203 | prio= 2 | https://www.bcb.gob.bo/?page=1&q=pub_memorias-institucionales
[BCB] t=  43.6s | pag= 31 | files= 539 | data=  4 | cola= 202 | prio= 2 | https://www.bcb.gob.bo/?page=2&q=pub_memorias-institucionales
[BCB] t= 110.4s | pag= 32 | files= 614 | data=  4 | cola= 201 | prio= 2 | https://www.bcb.gob.bo/?page=3&q=pub_memorias-institucionales
[BCB] t= 306.2s | pag= 33 | files= 686 | data=  4 | cola= 200 | prio= 2 | https://www.bcb.gob.bo/?page=4&q=pub_memorias-institucionales
[BCB] t= 412.7s | pag= 34 | files= 726 | data=  4 | cola= 199 | prio= 2 | https://www.bcb.gob.bo/?page=1&q=moneda-mercado-semanal
[BCB] t= 414.4s | pag= 35 | files= 736 | data=  4 | cola= 198 | prio= 2 | https://www.bcb.gob.bo/?page=2&q=moneda-mercado-semanal
[BCB] t= 416.0s | pag= 36 | files= 746 | data=  4 | cola= 197 | prio= 2 | https://www.bcb.gob.bo/?page=3&q=moneda-mercado-semanal
[BCB] t= 417.6s | pag= 37 | files= 756 | data=  4 | cola= 196 | prio= 2 | https://www.bcb.gob.bo/?page=4&q=moneda-mercado-semanal
[BCB] t= 419.1s | pag= 38 | files= 766 | data=  4 | cola= 195 | prio= 2 | https://www.bcb.gob.bo/?page=5&q=moneda-mercado-semanal
[BCB] t= 420.5s | pag= 39 | files= 776 | data=  4 | cola= 195 | prio= 2 | https://www.bcb.gob.bo/?page=6&q=moneda-mercado-semanal
[BCB] t= 422.4s | pag= 40 | files= 786 | data=  4 | cola= 195 | prio= 2 | https://www.bcb.gob.bo/?page=7&q=moneda-mercado-semanal
[BCB] t= 424.2s | pag= 41 | files= 796 | data=  4 | cola= 195 | prio= 2 | https://www.bcb.gob.bo/?page=8&q=moneda-mercado-semanal
[BCB] t= 425.7s | pag= 42 | files= 806 | data=  4 | cola= 195 | prio= 2 | https://www.bcb.gob.bo/?page=110&q=moneda-mercado-semanal
[BCB] t= 427.4s | pag= 43 | files= 816 | data=  4 | cola= 202 | prio= 2 | https://www.bcb.gob.bo/?page=1&q=informe-vigilancia-sistema-pagos
[BCB] t= 428.8s | pag= 44 | files= 821 | data=  4 | cola= 201 | prio= 2 | https://www.bcb.gob.bo/?page=1&q=informe-de-estabilidad-financiera
