================================================================================
CRAWLER V2
================================================================================
Fuente: Autoridad de Fiscalización y Control de Pensiones y Seguros
URL configurada: https://www.aps.gob.bo
Timeout HTTP: 15 s
Pausa HTTP:   aleatoria 0.30s - 0.90s


Resolución de fuente:
  Original: https://www.aps.gob.bo
  Utilizada: https://www.aps.gob.bo/
  Fallback: sí
  Intentos: 1
    - usable         | HTTP=200 | https://www.aps.gob.bo/

URL de trabajo: https://www.aps.gob.bo/
Seeds: 1
Máx páginas: 10000
Máx archivos: 100000
Máx profundidad: 20

[FULL_6_APS] t=   0.0s | pag=  0 | files=   0 | data=  0 | cola=   0 | prio= 0 | https://www.aps.gob.bo/
[FULL_6_APS] t=  19.8s | pag= 26 | files=  86 | data=  0 | cola=  28 | prio=50 | https://www.aps.gob.bo/index.php/seguros/entidades-fiscalizadas
[FULL_6_APS] t=  20.8s | pag= 27 | files=  86 | data=  0 | cola=  28 | prio=10 | https://aplicaciones.aps.gob.bo/reportes_asp/index.html
[FULL_6_APS] DATASETS=1 | data_html_table | https://aplicaciones.aps.gob.bo/reportes_asp/index.html
[FULL_6_APS] t=  22.1s | pag= 28 | files=  86 | data=  1 | cola=  27 | prio=50 | https://www.aps.gob.bo/index.php/seguros/normativa
[FULL_6_APS] t=  23.1s | pag= 29 | files= 127 | data=  1 | cola=  26 | prio=50 | https://www.aps.gob.bo/index.php/seguros/sistemas-de-informacion
[FULL_6_APS] t=  27.0s | pag= 30 | files= 146 | data=  1 | cola=  27 | prio=50 | https://www.aps.gob.bo/index.php/seguros/monitoreo-de-reaseguradores-y-corredores-de-seguros
[FULL_6_APS] t=  27.9s | pag= 31 | files= 146 | data=  1 | cola=  26 | prio=50 | https://www.aps.gob.bo/index.php?id=20&option=com_sppagebuilder&view=page
[FULL_6_APS] t=  28.7s | pag= 32 | files= 146 | data=  1 | cola=  30 | prio=50 | https://www.aps.gob.bo/index.php?id=124&option=com_sppagebuilder&view=page
[FULL_6_APS] t=  29.3s | pag= 33 | files= 146 | data=  1 | cola=  30 | prio=50 | https://www.aps.gob.bo/index.php?id=24&option=com_sppagebuilder&view=page
[FULL_6_APS] t=  29.9s | pag= 34 | files= 146 | data=  1 | cola=  32 | prio=50 | https://www.aps.gob.bo/index.php?id=73&option=com_sppagebuilder&view=page
[FULL_6_APS] t=  30.4s | pag= 35 | files= 146 | data=  1 | cola=  34 | prio=50 | https://moodle.aps.gob.bo/
[FULL_6_APS] t=  31.3s | pag= 36 | files= 146 | data=  1 | cola=  56 | prio=10 | https://moodle.aps.gob.bo/admin/tool/dataprivacy/summary.php
[FULL_6_APS] t=  32.1s | pag= 37 | files= 146 | data=  1 | cola=  57 | prio=10 | https://moodle.aps.gob.bo/admin/tool/dataprivacy/summary.php?lang=en
[FULL_6_APS] t=  33.0s | pag= 38 | files= 146 | data=  1 | cola=  56 | prio=10 | https://moodle.aps.gob.bo/admin/tool/dataprivacy/summary.php?lang=es
[FULL_6_APS] t=  33.8s | pag= 39 | files= 146 | data=  1 | cola=  55 | prio=50 | https://www.aps.gob.bo/index.php?id=26&option=com_sppagebuilder&view=page
[FULL_6_APS] t=  34.6s | pag= 40 | files= 146 | data=  1 | cola=  58 | prio=50 | https://www.aps.gob.bo/index.php?id=69&option=com_sppagebuilder&view=page
[FULL_6_APS] t=  35.5s | pag= 41 | files= 146 | data=  1 | cola=  61 | prio=50 | https://www.aps.gob.bo/index.php/component/spsimpleportfolio/item/24-bicentenario-ministerio-de-economia-y-finanzas-publicas?Itemid=0
[FULL_6_APS] t=  36.3s | pag= 42 | files= 146 | data=  1 | cola=  60 | prio=50 | https://www.aps.gob.bo/index.php/component/spsimpleportfolio/item/31-fortaleciendo-la-seguridad?Itemid=0
[FULL_6_APS] t=  36.9s | pag= 43 | files= 146 | data=  1 | cola=  59 | prio=50 | https://www.aps.gob.bo/index.php/component/spsimpleportfolio/item/30-mayor-inclusion?Itemid=0
[FULL_6_APS] t=  37.4s | pag= 44 | files= 146 | data=  1 | cola=  58 | prio=50 | https://www.aps.gob.bo/index.php/component/spsimpleportfolio/item/29-trabajamos-por-la-proteccion?Itemid=0
[FULL_6_APS] t=  38.1s | pag= 45 | files= 146 | data=  1 | cola=  57 | prio=50 | https://www.aps.gob.bo/index.php?id=75&option=com_sppagebuilder&view=page
[FULL_6_APS] t=  39.1s | pag= 46 | files= 146 | data=  1 | cola=  56 | prio=50 | https://www.aps.gob.bo/index.php?id=59&option=com_sppagebuilder&view=page
[FULL_6_APS] t=  39.9s | pag= 47 | files= 146 | data=  1 | cola=  56 | prio=50 | https://www.aps.gob.bo/index.php?id=60&option=com_sppagebuilder&view=page
[FULL_6_APS] t=  40.5s | pag= 48 | files= 146 | data=  1 | cola=  55 | prio=50 | https://www.aps.gob.bo/index.php?id=115&option=com_sppagebuilder&view=page
[FULL_6_APS] t=  41.3s | pag= 49 | files= 146 | data=  1 | cola=  54 | prio=50 | https://www.aps.gob.bo/atencion-al-ciudadano/guia-de-tramites/aportes-en-el-exterior
[FULL_6_APS] t=  41.7s | pag= 49 | files= 146 | data=  1 | cola=  53 | prio=50 | https://aplicaciones.aps.gob.bo/CRS
[FULL_6_APS] t=  42.9s | pag= 50 | files= 151 | data=  1 | cola=  53 | prio=50 | https://www.aps.gob.bo/index.php?id=77&option=com_sppagebuilder&view=page
[FULL_6_APS] t=  43.9s | pag= 51 | files= 151 | data=  1 | cola=  52 | prio=50 | https://www.aps.gob.bo/index.php?id=63&option=com_sppagebuilder&view=page
[FULL_6_APS] t=  44.6s | pag= 52 | files= 151 | data=  1 | cola=  51 | prio=50 | https://www.aps.gob.bo/index.php?id=64&option=com_sppagebuilder&view=page
[FULL_6_APS] t=  45.5s | pag= 53 | files= 151 | data=  1 | cola=  50 | prio=50 | https://www.aps.gob.bo/index.php?id=126&option=com_sppagebuilder&view=page
[FULL_6_APS] t=  46.0s | pag= 54 | files= 151 | data=  1 | cola=  49 | prio=50 | https://www.aps.gob.bo/index.php?id=129&option=com_sppagebuilder&view=page
[FULL_6_APS] t=  46.7s | pag= 55 | files= 151 | data=  1 | cola=  50 | prio=50 | https://www.aps.gob.bo/index.php?id=109&option=com_sppagebuilder&view=page
[FULL_6_APS] t=  47.5s | pag= 56 | files= 151 | data=  1 | cola=  49 | prio=50 | https://www.aps.gob.bo/index.php?id=127&option=com_sppagebuilder&view=page
[FULL_6_APS] t=  48.4s | pag= 57 | files= 151 | data=  1 | cola=  48 | prio=50 | https://www.aps.gob.bo/index.php?id=101&option=com_sppagebuilder&view=page
[FULL_6_APS] t=  49.1s | pag= 58 | files= 151 | data=  1 | cola=  47 | prio=50 | https://www.aps.gob.bo/index.php?id=107&option=com_sppagebuilder&view=page
[FULL_6_APS] t=  49.7s | pag= 59 | files= 152 | data=  1 | cola=  46 | prio=50 | https://www.aps.gob.bo/index.php?id=108&option=com_sppagebuilder&view=page
[FULL_6_APS] t=  50.2s | pag= 60 | files= 153 | data=  1 | cola=  45 | prio=50 | https://www.aps.gob.bo/index.php?id=130&option=com_sppagebuilder&view=page
[FULL_6_APS] t=  50.7s | pag= 61 | files= 153 | data=  1 | cola=  46 | prio=50 | https://www.aps.gob.bo/index.php?id=41&option=com_sppagebuilder&view=page
[FULL_6_APS] t=  51.2s | pag= 62 | files= 153 | data=  1 | cola=  45 | prio=50 | https://www.aps.gob.bo/index.php?id=72&option=com_sppagebuilder&view=page
[FULL_6_APS] t=  52.2s | pag= 63 | files= 153 | data=  1 | cola=  45 | prio=50 | http://moodle.aps.gob.bo/course/index.php?categoryid=6
[FULL_6_APS] t=  52.9s | pag= 64 | files= 153 | data=  1 | cola=  46 | prio=50 | https://moodle.aps.gob.bo/?lang=en
[FULL_6_APS] t=  53.6s | pag= 65 | files= 153 | data=  1 | cola=  45 | prio=50 | https://moodle.aps.gob.bo/?lang=es
[FULL_6_APS] t=  54.3s | pag= 66 | files= 153 | data=  1 | cola=  44 | prio=50 | https://moodle.aps.gob.bo/mod/quiz/view.php?id=2004
[FULL_6_APS] t=  55.0s | pag= 67 | files= 153 | data=  1 | cola=  43 | prio=50 | https://moodle.aps.gob.bo/course/index.php
