================================================================================
CRAWLER V2
================================================================================
Fuente: Bureau of Transportation Statistics - TranStats
URL configurada: https://www.transtats.bts.gov/
Timeout HTTP: 15 s
Pausa HTTP:   aleatoria 0.15s - 0.35s


Resolución de fuente:
  Original: https://www.transtats.bts.gov/
  Utilizada: https://www.transtats.bts.gov/
  Fallback: no
  Intentos: 1
    - usable         | HTTP=200 | https://www.transtats.bts.gov/

URL de trabajo: https://www.transtats.bts.gov/
Seeds: 3
Máx páginas: 200
Máx archivos: 20000
Máx profundidad: 6

[TRANSTATS] t=  31.1s | pag= 34 | files=   0 | data=  1 | cola= 319 | prio= 1 | https://www.transtats.bts.gov/dataindex.asp?v0qrA=d&yv5614qr4=QNgNONfR
[TRANSTATS] t=  31.7s | pag= 35 | files=   0 | data=  1 | cola= 319 | prio= 1 | https://www.transtats.bts.gov/dataindex.asp?v0qrA=e&yv5614qr4=QNgNONfR
[TRANSTATS] t=  32.3s | pag= 36 | files=   0 | data=  1 | cola= 322 | prio= 1 | https://www.transtats.bts.gov/dataindex.asp?v0qrA=f&yv5614qr4=QNgNONfR
[TRANSTATS] t=  33.0s | pag= 37 | files=   0 | data=  1 | cola= 332 | prio= 1 | https://www.transtats.bts.gov/dataindex.asp?v0qrA=g&yv5614qr4=QNgNONfR
[TRANSTATS] t=  34.0s | pag= 38 | files=   0 | data=  1 | cola= 338 | prio= 1 | https://www.transtats.bts.gov/dataindex.asp?v0qrA=h&yv5614qr4=QNgNONfR
[TRANSTATS] t=  34.6s | pag= 39 | files=   1 | data=  1 | cola= 346 | prio= 1 | https://www.transtats.bts.gov/dataindex.asp?v0qrA=i&yv5614qr4=QNgNONfR
[TRANSTATS] t=  35.1s | pag= 40 | files=   1 | data=  1 | cola= 350 | prio= 1 | https://www.transtats.bts.gov/dataindex.asp?v0qrA=j&yv5614qr4=QNgNONfR
[TRANSTATS] t=  35.8s | pag= 41 | files=   2 | data=  1 | cola= 350 | prio= 1 | https://www.transtats.bts.gov/dataindex.asp?v0qrA=k&yv5614qr4=QNgNONfR
[TRANSTATS] t=  36.5s | pag= 42 | files=   2 | data=  1 | cola= 349 | prio= 1 | https://www.transtats.bts.gov/dataindex.asp?v0qrA=l&yv5614qr4=QNgNONfR
[TRANSTATS] t=  37.1s | pag= 43 | files=   2 | data=  1 | cola= 348 | prio= 1 | https://www.transtats.bts.gov/dataindex.asp?v0qrA=m&yv5614qr4=QNgNONfR
[TRANSTATS] t=  37.8s | pag= 44 | files=   2 | data=  1 | cola= 347 | prio= 1 | https://www.transtats.bts.gov/DataIndex.asp?P74_e19=EI&v0qrA=N&yv5614qr4=QNgNONfR
[TRANSTATS] t=  38.6s | pag= 45 | files=   2 | data=  1 | cola= 358 | prio= 1 | https://www.transtats.bts.gov/DatabaseInfo.asp?QO_VQ=FGD&QO_anzr=Nv4%EF%BF%BDPn44vr4%EF%BF%BDRz2y1Brr5&Yv0x=u6625%25GN%2F%2F999.64n056n65.o65.t18%2FRz2y1Bzr06%2F
[TRANSTATS] DATASETS=2 | database_dataset | https://www.transtats.bts.gov/DatabaseInfo.asp?QO_VQ=FGD&QO_anzr=Nv4%EF%BF%BDPn44vr4%EF%BF%BDRz2y1Brr5&Yv0x=u6625%25GN%2F%2F999.64n056n65.o65.t18%2FRz2y1Bzr06%2F
[TRANSTATS] t=  39.4s | pag= 46 | files=   2 | data=  2 | cola= 362 | prio= 1 | https://www.transtats.bts.gov/DatabaseInfo.asp?QO_VQ=EGI&QO_anzr=Nv4%EF%BF%BDPn44vr4%EF%BF%BDSv0n0pvny%EF%BF%BDer21465%EF%BF%BD%25FLS14z%EF%BF%BDHE%EF%BF%BDSv0n0pvny%EF%BF%BDQn6n%25FM&QO_fu146_anzr=Nv4%EF%BF%BDPn44vr4%EF%BF%BDSv0n0pvny&Yv0x=D
[TRANSTATS] DATASETS=3 | database_dataset | https://www.transtats.bts.gov/DatabaseInfo.asp?QO_VQ=EGI&QO_anzr=Nv4%EF%BF%BDPn44vr4%EF%BF%BDSv0n0pvny%EF%BF%BDer21465%EF%BF%BD%25FLS14z%EF%BF%BDHE%EF%BF%BDSv0n0pvny%EF%BF%BDQn6n%25FM&QO_fu146_anzr=Nv4%EF%BF%BDPn44vr4%EF%BF%BDSv0n0pvny&Yv0x=D
[TRANSTATS] t=  40.1s | pag= 47 | files=   2 | data=  3 | cola= 367 | prio= 1 | https://www.transtats.bts.gov/DatabaseInfo.asp?QO_VQ=JII&QO_anzr=Nv4%EF%BF%BDPn44vr4%EF%BF%BDZv5un0qyrq%EF%BF%BDOnttntr%EF%BF%BD%25FLS14z%EF%BF%BDFGH.J%25FM&QO_fu146_anzr=Zv5un0qyrq%EF%BF%BDOnttntr%EF%BF%BD&Yv0x=D
[TRANSTATS] DATASETS=4 | database_dataset | https://www.transtats.bts.gov/DatabaseInfo.asp?QO_VQ=JII&QO_anzr=Nv4%EF%BF%BDPn44vr4%EF%BF%BDZv5un0qyrq%EF%BF%BDOnttntr%EF%BF%BD%25FLS14z%EF%BF%BDFGH.J%25FM&QO_fu146_anzr=Zv5un0qyrq%EF%BF%BDOnttntr%EF%BF%BD&Yv0x=D
