================================================================================
CRAWLER V2
================================================================================
Fuente: Ministerio de Minería y Metalurgia
URL configurada: https://www.mineria.gob.bo
Timeout HTTP: 10 s
Pausa HTTP:   aleatoria 0.15s - 0.35s


Resolución de fuente:
  Original: https://www.mineria.gob.bo
  Utilizada: https://www.mineria.gob.bo/
  Fallback: sí
  Intentos: 1
    - usable         | HTTP=200 | https://www.mineria.gob.bo/

URL de trabajo: https://www.mineria.gob.bo/
Seeds: 1
Máx páginas: 200
Máx archivos: 20000
Máx profundidad: 6

[FULL_42_MMYM] t=  47.6s | pag= 45 | files= 110 | data=  0 | cola=  25 | prio=50 | https://www.mineria.gob.bo/index.php/mapa-de-sitio/
[FULL_42_MMYM] t=  49.3s | pag= 46 | files= 110 | data=  0 | cola= 571 | prio=10 | https://www.mineria.gob.bo/index.php/historico/
[FULL_42_MMYM] t=  50.1s | pag= 47 | files= 110 | data=  0 | cola= 570 | prio=10 | https://www.mineria.gob.bo/index.php/presupuesto/informe-ejecucion-presupuestaria-2025/
[FULL_42_MMYM] t=  51.0s | pag= 48 | files= 110 | data=  0 | cola= 569 | prio=10 | https://www.mineria.gob.bo/index.php/nota_prensa/ministerio-de-mineria-impulsa-acercamiento-con-mercados-internacionales-de-capital-para-fortalecer-la-exploracion-en-bolivia/
[FULL_42_MMYM] t=  51.8s | pag= 49 | files= 110 | data=  0 | cola= 568 | prio=10 | https://www.mineria.gob.bo/index.php/nota_prensa/bolivia-evalua-el-alza-del-oro-y-la-plata-oportunidad-economica-con-enfoque-de-formalizacion-y-trazabilidad/
[FULL_42_MMYM] t=  52.6s | pag= 50 | files= 110 | data=  0 | cola= 567 | prio=10 | https://www.mineria.gob.bo/index.php/investigacion/anuario-2025/
[FULL_42_MMYM] t=  53.7s | pag= 51 | files= 110 | data=  0 | cola= 566 | prio=10 | https://www.mineria.gob.bo/index.php/investigacion/anuario-2024/
[FULL_42_MMYM] t=  54.7s | pag= 52 | files= 110 | data=  0 | cola= 565 | prio=10 | https://www.mineria.gob.bo/index.php/investigacion/anuario-2023/
[FULL_42_MMYM] t=  55.6s | pag= 53 | files= 110 | data=  0 | cola= 564 | prio=10 | https://www.mineria.gob.bo/index.php/investigacion/anuario-2022/
[FULL_42_MMYM] t=  56.7s | pag= 54 | files= 110 | data=  0 | cola= 563 | prio=10 | https://www.mineria.gob.bo/index.php/investigacion/anuario-2021/
[FULL_42_MMYM] t=  57.8s | pag= 55 | files= 110 | data=  0 | cola= 562 | prio=10 | https://www.mineria.gob.bo/index.php/investigacion/anuario-2020/
[FULL_42_MMYM] t=  58.6s | pag= 56 | files= 110 | data=  0 | cola= 561 | prio=10 | https://www.mineria.gob.bo/index.php/boletin/boletin-3t-2025/
[FULL_42_MMYM] t=  59.6s | pag= 57 | files= 110 | data=  0 | cola= 560 | prio=10 | https://www.mineria.gob.bo/index.php/boletin/boletin-1t-2025/
[FULL_42_MMYM] t=  60.4s | pag= 58 | files= 110 | data=  0 | cola= 559 | prio=10 | https://www.mineria.gob.bo/index.php/boletin/boletin-1s-2025/
[FULL_42_MMYM] t=  61.5s | pag= 59 | files= 110 | data=  0 | cola= 558 | prio=10 | https://www.mineria.gob.bo/index.php/boletin/boletin-3t-2024/
[FULL_42_MMYM] t=  62.5s | pag= 60 | files= 110 | data=  0 | cola= 557 | prio=10 | https://www.mineria.gob.bo/index.php/boletin/boletin-1t-2024/
[FULL_42_MMYM] t=  63.4s | pag= 61 | files= 110 | data=  0 | cola= 556 | prio=10 | https://www.mineria.gob.bo/index.php/boletin/boletin-1s-2024/
[FULL_42_MMYM] t=  64.4s | pag= 62 | files= 110 | data=  0 | cola= 555 | prio=10 | https://www.mineria.gob.bo/index.php/boletin/boletin-3t-2023/
[FULL_42_MMYM] t=  65.5s | pag= 63 | files= 110 | data=  0 | cola= 554 | prio=10 | https://www.mineria.gob.bo/index.php/boletin/boletin-1t-2023/
[FULL_42_MMYM] t=  66.3s | pag= 64 | files= 110 | data=  0 | cola= 553 | prio=10 | https://www.mineria.gob.bo/index.php/boletin/boletin-1s-2023/
[FULL_42_MMYM] t=  67.2s | pag= 65 | files= 110 | data=  0 | cola= 552 | prio=10 | https://www.mineria.gob.bo/index.php/boletin/boletin-3t-2022/
[FULL_42_MMYM] t=  68.1s | pag= 66 | files= 110 | data=  0 | cola= 551 | prio=10 | https://www.mineria.gob.bo/index.php/boletin/boletin-1t-2022/
[FULL_42_MMYM] t=  69.0s | pag= 67 | files= 110 | data=  0 | cola= 550 | prio=10 | https://www.mineria.gob.bo/index.php/boletin/boletin-1s-2022/
[FULL_42_MMYM] t=  70.0s | pag= 68 | files= 110 | data=  0 | cola= 549 | prio=10 | https://www.mineria.gob.bo/index.php/boletin/boletin-3t-2021/
[FULL_42_MMYM] t=  71.1s | pag= 69 | files= 110 | data=  0 | cola= 548 | prio=10 | https://www.mineria.gob.bo/index.php/boletin/boletin-1t-2021/
[FULL_42_MMYM] t=  72.1s | pag= 70 | files= 110 | data=  0 | cola= 547 | prio=10 | https://www.mineria.gob.bo/index.php/boletin/boletin-1s-2021/
[FULL_42_MMYM] t=  73.0s | pag= 71 | files= 110 | data=  0 | cola= 546 | prio=10 | https://www.mineria.gob.bo/index.php/boletin/boletin-3t-2020/
[FULL_42_MMYM] t=  74.0s | pag= 72 | files= 110 | data=  0 | cola= 545 | prio=10 | https://www.mineria.gob.bo/index.php/boletin/boletin-1t-2020/
[FULL_42_MMYM] t=  75.0s | pag= 73 | files= 110 | data=  0 | cola= 544 | prio=10 | https://www.mineria.gob.bo/index.php/boletin/boletin-1s-2020/
[FULL_42_MMYM] t=  76.1s | pag= 74 | files= 110 | data=  0 | cola= 543 | prio=10 | https://www.mineria.gob.bo/index.php/servidor_publico/zambrana-mercado-jaime/
[FULL_42_MMYM] t=  77.0s | pag= 75 | files= 110 | data=  0 | cola= 542 | prio=50 | https://www.mineria.gob.bo/index.php/rendicion-publica-de-cuentas/page/2/
[FULL_42_MMYM] t=  77.9s | pag= 76 | files= 111 | data=  0 | cola= 542 | prio=50 | https://www.mineria.gob.bo/index.php/presupuesto-de-las-estrategias-intitucionales/page/2/
[FULL_42_MMYM] t=  78.8s | pag= 77 | files= 111 | data=  0 | cola= 542 | prio=50 | https://www.mineria.gob.bo/index.php/informacion-sobre-las-areas-o-procesos-que-seran-auditados-durante-el-ano/page/2/
[FULL_42_MMYM] t=  79.6s | pag= 78 | files= 118 | data=  0 | cola= 542 | prio=50 | https://www.mineria.gob.bo/index.php/lista-comunicados-page/page/2/
[FULL_42_MMYM] t=  80.6s | pag= 79 | files= 128 | data=  0 | cola= 542 | prio=50 | https://www.mineria.gob.bo/index.php/lista-comunicados-page/page/3/
[FULL_42_MMYM] t=  81.5s | pag= 80 | files= 129 | data=  0 | cola= 541 | prio=50 | https://www.mineria.gob.bo/index.php/banco-de-trabajo-de-investigacion/page/2/
[FULL_42_MMYM] t=  82.3s | pag= 81 | files= 130 | data=  0 | cola= 541 | prio=50 | https://www.mineria.gob.bo/index.php/nota_prensa/la-cumbre-nacional-minera-avanza-el-dialogo-continua-para-construir-el-nuevo-codigo-minero/
[FULL_42_MMYM] t=  83.0s | pag= 82 | files= 130 | data=  0 | cola= 540 | prio=50 | https://www.mineria.gob.bo/index.php/nota_prensa/la-cumbre-nacional-minera-entra-en-la-fase-de-construccion-de-propuestas-para-el-nuevo-codigo-minero/
[FULL_42_MMYM] t=  84.0s | pag= 83 | files= 130 | data=  0 | cola= 539 | prio=50 | https://www.mineria.gob.bo/index.php/nota_prensa/cumbre-nacional-minera-2026-inicia-el-proceso-de-dialogo-para-la-actualizacion-del-marco-normativo-del-sector/
[FULL_42_MMYM] t=  84.9s | pag= 84 | files= 130 | data=  0 | cola= 539 | prio=50 | https://www.mineria.gob.bo/index.php/nota_prensa/los-actores-productivos-mineros-son-los-protagonistas-de-la-cumbre-nacional-minera-2026/
[FULL_42_MMYM] t=  85.8s | pag= 85 | files= 130 | data=  0 | cola= 538 | prio=50 | https://www.mineria.gob.bo/index.php/comunicados-de-prensa/page/2/
[FULL_42_MMYM] t=  86.8s | pag= 86 | files= 130 | data=  0 | cola= 539 | prio=50 | https://www.mineria.gob.bo/index.php/comunicados-de-prensa/page/3/
[FULL_42_MMYM] t=  87.7s | pag= 87 | files= 130 | data=  0 | cola= 539 | prio=50 | https://www.mineria.gob.bo/index.php/comunicados-de-prensa/page/6/
[FULL_42_MMYM] t=  88.6s | pag= 88 | files= 130 | data=  0 | cola= 538 | prio=50 | https://www.mineria.gob.bo/index.php/normativa-externa/page/2/
