================================================================================
CRAWLER V2
================================================================================
Fuente: Ministerio de Desarrollo Rural y Tierras
URL configurada: https://ruralytierras.gob.bo/
Timeout HTTP: 12 s
Pausa HTTP:   aleatoria 0.15s - 0.35s


Resolución de fuente:
  Original: https://ruralytierras.gob.bo/
  Utilizada: https://ruralytierras.gob.bo/
  Fallback: no
  Intentos: 1
    - usable         | HTTP=200 | https://ruralytierras.gob.bo/

URL de trabajo: https://ruralytierras.gob.bo/
Seeds: 8
Máx páginas: 200
Máx archivos: 20000
Máx profundidad: 6

[MDRYT] t=  26.7s | pag= 49 | files=  42 | data=  2 | cola= 374 | prio= 2 | https://ruralytierras.gob.bo/index.php/revistas/
[MDRYT] t=  27.3s | pag= 50 | files=  42 | data=  2 | cola= 373 | prio= 2 | https://ruralytierras.gob.bo/index.php/presupuesto/presupuesto-institucional-de-recursos/
[MDRYT] t=  27.8s | pag= 51 | files=  42 | data=  2 | cola= 372 | prio= 2 | https://ruralytierras.gob.bo/index.php/presupuesto/presupuesto-institucional-de-gastos/
[MDRYT] t=  28.2s | pag= 52 | files=  42 | data=  2 | cola= 371 | prio= 2 | https://ruralytierras.gob.bo/index.php/presupuesto/fuente-de-financiamiento-2025-09-04/
[MDRYT] t=  28.6s | pag= 53 | files=  42 | data=  2 | cola= 370 | prio= 2 | https://ruralytierras.gob.bo/index.php/presupuesto/estado-de-ejecucion/
[MDRYT] t=  29.2s | pag= 54 | files=  42 | data=  2 | cola= 369 | prio= 2 | https://ruralytierras.gob.bo/index.php/datos/tecnologia-1/
[MDRYT] DATASETS=3 | exportable_data_page | https://ruralytierras.gob.bo/index.php/datos/tecnologia-1/
[MDRYT] t=  29.5s | pag= 55 | files=  42 | data=  3 | cola= 368 | prio= 2 | https://ruralytierras.gob.bo/index.php/rendicion_cuenta/informe-00089-2025-rendicion-publica-de-cuentas-inicial-2025/
[MDRYT] t=  29.9s | pag= 56 | files=  42 | data=  3 | cola= 367 | prio= 2 | https://ruralytierras.gob.bo/index.php/rendicion_cuenta/informe-00026-2025-rendicion-publica-de-cuentas-final-2024/
[MDRYT] t=  30.5s | pag= 57 | files=  42 | data=  3 | cola= 366 | prio= 2 | https://ruralytierras.gob.bo/index.php/rendicion_cuenta/informe-0034-2024-rendicion-publica-de-cuentas-inicial-2024/
[MDRYT] t=  30.9s | pag= 58 | files=  42 | data=  3 | cola= 365 | prio= 2 | https://ruralytierras.gob.bo/index.php/viaje/lorem-titulo-del-informe-de-viaje-al-exterior/
[MDRYT] t=  31.2s | pag= 59 | files=  42 | data=  3 | cola= 364 | prio= 2 | https://ruralytierras.gob.bo/index.php/indicador/sanidad-e-inocuidad-alimentaria-senasag/
[MDRYT] DATASETS=4 | exportable_data_page | https://ruralytierras.gob.bo/index.php/indicador/sanidad-e-inocuidad-alimentaria-senasag/
[MDRYT] t=  31.6s | pag= 60 | files=  42 | data=  4 | cola= 363 | prio= 2 | https://ruralytierras.gob.bo/index.php/indicador/seguro-agrario-pachamamaseguro-agrario-pachamama/
[MDRYT] DATASETS=5 | exportable_data_page | https://ruralytierras.gob.bo/index.php/indicador/seguro-agrario-pachamamaseguro-agrario-pachamama/
[MDRYT] t=  32.1s | pag= 61 | files=  42 | data=  5 | cola= 362 | prio= 2 | https://ruralytierras.gob.bo/index.php/indicador/credito-productivo-sibolivia/
[MDRYT] DATASETS=6 | exportable_data_page | https://ruralytierras.gob.bo/index.php/indicador/credito-productivo-sibolivia/
[MDRYT] t=  32.6s | pag= 62 | files=  42 | data=  6 | cola= 361 | prio= 2 | https://ruralytierras.gob.bo/index.php/indicador/lorem-indicadores-2/
[MDRYT] DATASETS=7 | exportable_data_page | https://ruralytierras.gob.bo/index.php/indicador/lorem-indicadores-2/
[MDRYT] t=  33.0s | pag= 63 | files=  42 | data=  7 | cola= 360 | prio= 2 | https://ruralytierras.gob.bo/index.php/boletin/16876/
[MDRYT] t=  33.4s | pag= 64 | files=  42 | data=  7 | cola= 359 | prio= 2 | https://ruralytierras.gob.bo/index.php/boletin/lorem-boletin-informativo-lorem/
[MDRYT] t=  33.9s | pag= 65 | files=  42 | data=  7 | cola= 358 | prio= 2 | https://ruralytierras.gob.bo/index.php/boletin/boletin-informativo/
[MDRYT] t=  34.3s | pag= 66 | files=  42 | data=  7 | cola= 357 | prio=10 | https://ruralytierras.gob.bo/index.php/convocatoria/20445/
[MDRYT] t=  34.8s | pag= 67 | files=  42 | data=  7 | cola= 356 | prio=15 | https://ruralytierras.gob.bo/index.php/decretos/
[MDRYT] t=  35.2s | pag= 68 | files=  42 | data=  7 | cola= 355 | prio=15 | https://ruralytierras.gob.bo/index.php/leyes/
[MDRYT] t=  35.7s | pag= 69 | files=  42 | data=  7 | cola= 354 | prio=15 | https://ruralytierras.gob.bo/index.php/resolucion-ministerial/
[MDRYT] t=  36.1s | pag= 70 | files=  42 | data=  7 | cola= 353 | prio=15 | https://ruralytierras.gob.bo/index.php/resoluciones/
[MDRYT] t=  36.5s | pag= 71 | files=  42 | data=  7 | cola= 352 | prio=15 | https://ruralytierras.gob.bo/index.php/normativa/ley-no-3525/
[MDRYT] t=  37.0s | pag= 72 | files=  42 | data=  7 | cola= 351 | prio=15 | https://ruralytierras.gob.bo/index.php/normativa/ley-no-2341/
[MDRYT] t=  37.4s | pag= 73 | files=  42 | data=  7 | cola= 350 | prio=15 | https://ruralytierras.gob.bo/index.php/normativa/ley-n-2061/
[MDRYT] t=  37.9s | pag= 74 | files=  42 | data=  7 | cola= 349 | prio=15 | https://ruralytierras.gob.bo/index.php/normativa/ley-no-2027/
[MDRYT] t=  38.3s | pag= 75 | files=  42 | data=  7 | cola= 348 | prio=15 | https://ruralytierras.gob.bo/index.php/normativa/ley-no-1715/
[MDRYT] t=  38.8s | pag= 76 | files=  42 | data=  7 | cola= 347 | prio=15 | https://ruralytierras.gob.bo/index.php/normativa/ley-no-1178/
[MDRYT] t=  39.2s | pag= 77 | files=  42 | data=  7 | cola= 346 | prio=15 | https://ruralytierras.gob.bo/index.php/normativa/ley-n-906/
[MDRYT] t=  39.8s | pag= 78 | files=  42 | data=  7 | cola= 345 | prio=15 | https://ruralytierras.gob.bo/index.php/normativa/ley-no-830/
[MDRYT] t=  40.3s | pag= 79 | files=  42 | data=  7 | cola= 344 | prio=15 | https://ruralytierras.gob.bo/index.php/normativa/ley-no-395/
[MDRYT] t=  41.0s | pag= 80 | files=  42 | data=  7 | cola= 343 | prio=15 | https://ruralytierras.gob.bo/index.php/normativa/ley-no-144/
[MDRYT] t=  41.5s | pag= 81 | files=  42 | data=  7 | cola= 342 | prio=15 | https://ruralytierras.gob.bo/index.php/normativa/ley-n-045/
[MDRYT] t=  41.8s | pag= 82 | files=  42 | data=  7 | cola= 341 | prio=15 | https://ruralytierras.gob.bo/index.php/normativa/ley-no-031/
[MDRYT] t=  42.3s | pag= 83 | files=  42 | data=  7 | cola= 340 | prio=15 | https://ruralytierras.gob.bo/index.php/normativa/ley-n-004/
[MDRYT] t=  42.8s | pag= 84 | files=  42 | data=  7 | cola= 339 | prio=15 | https://ruralytierras.gob.bo/index.php/normativa/decreto-supremo-n-29611/
[MDRYT] t=  43.3s | pag= 85 | files=  42 | data=  7 | cola= 338 | prio=15 | https://ruralytierras.gob.bo/index.php/normativa/decreto-supremo-no-29315/
[MDRYT] t=  43.8s | pag= 86 | files=  42 | data=  7 | cola= 337 | prio=15 | https://ruralytierras.gob.bo/index.php/normativa/decreto-supremo-no-23318-a/
[MDRYT] t=  44.2s | pag= 87 | files=  42 | data=  7 | cola= 336 | prio=15 | https://ruralytierras.gob.bo/index.php/normativa/decreto-supremo-n-4857/
[MDRYT] t=  44.7s | pag= 88 | files=  42 | data=  7 | cola= 335 | prio=15 | https://ruralytierras.gob.bo/index.php/normativa/decreto-supremo-n-4701/
[MDRYT] t=  45.0s | pag= 89 | files=  42 | data=  7 | cola= 334 | prio=15 | https://ruralytierras.gob.bo/index.php/normativa/decreto-supremo-n-2852/
