================================================================================
CRAWLER V2
================================================================================
Fuente: SIGMA
URL configurada: https://www.sigmacorp.com.bo/
Timeout HTTP: 12 s
Pausa HTTP:   aleatoria 0.15s - 0.35s


Resolución de fuente:
  Original: https://www.sigmacorp.com.bo/
  Utilizada: https://www.sigmacorp.com.bo/
  Fallback: no
  Intentos: 1
    - usable         | HTTP=200 | https://www.sigmacorp.com.bo/

URL de trabajo: https://www.sigmacorp.com.bo/
Seeds: 1
Máx páginas: 200
Máx archivos: 20000
Máx profundidad: 6

[SIGMA] t=  68.4s | pag= 80 | files=   0 | data=  0 | cola=  65 | prio=50 | https://www.sigmacorp.com.bo/pharmaceutics-products/gastrointestinales/acydone-gel
[SIGMA] t=  69.2s | pag= 81 | files=   0 | data=  0 | cola=  71 | prio=50 | https://www.sigmacorp.com.bo/pharmaceutics-products/gastrointestinales/adecuan
[SIGMA] t=  69.6s | pag= 82 | files=   0 | data=  0 | cola=  70 | prio=50 | https://www.sigmacorp.com.bo/pharmaceutics-products/gastrointestinales/flatulen-gotas
[SIGMA] t=  70.5s | pag= 83 | files=   0 | data=  0 | cola=  69 | prio=50 | https://www.sigmacorp.com.bo/pharmaceutics-products/gastrointestinales/flatulen-100
[SIGMA] t=  71.3s | pag= 84 | files=   0 | data=  0 | cola=  68 | prio=50 | https://www.sigmacorp.com.bo/pharmaceutics-products/gastrointestinales/digesflat-plus
[SIGMA] t=  71.8s | pag= 85 | files=   0 | data=  0 | cola=  67 | prio=50 | https://www.sigmacorp.com.bo/pharmaceutics-products/gastrointestinales/bacilor
[SIGMA] t=  72.7s | pag= 86 | files=   0 | data=  0 | cola=  66 | prio=50 | https://www.sigmacorp.com.bo/pharmaceutics-products/ginecologicos/florgynal
[SIGMA] t=  73.1s | pag= 87 | files=   0 | data=  0 | cola=  69 | prio=50 | https://www.sigmacorp.com.bo/pharmaceutics-products/ginecologicos/gynophilus
[SIGMA] t=  73.9s | pag= 88 | files=   0 | data=  0 | cola=  68 | prio=50 | https://www.sigmacorp.com.bo/pharmaceutics-products/ginecologicos/saforelle
[SIGMA] t=  74.4s | pag= 89 | files=   0 | data=  0 | cola=  67 | prio=50 | https://www.sigmacorp.com.bo/pharmaceutics-products/neurologicos/noopiram
[SIGMA] t=  75.1s | pag= 90 | files=   0 | data=  0 | cola=  68 | prio=50 | https://www.sigmacorp.com.bo/pharmaceutics-products/odontologia/clorex-2
[SIGMA] t=  75.5s | pag= 91 | files=   0 | data=  0 | cola=  72 | prio=50 | https://www.sigmacorp.com.bo/pharmaceutics-products/odontologia/clorex-gel
[SIGMA] t=  76.3s | pag= 92 | files=   0 | data=  0 | cola=  71 | prio=50 | https://www.sigmacorp.com.bo/pharmaceutics-products/odontologia/clorex-5mg
[SIGMA] t=  76.7s | pag= 93 | files=   0 | data=  0 | cola=  70 | prio=50 | https://www.sigmacorp.com.bo/pharmaceutics-products/odontologia/clorex-enjuague-bucal
[SIGMA] t=  77.6s | pag= 94 | files=   0 | data=  0 | cola=  69 | prio=50 | https://www.sigmacorp.com.bo/pharmaceutics-products/oftalmologia/bacticor
[SIGMA] t=  78.4s | pag= 95 | files=   0 | data=  0 | cola=  84 | prio=50 | https://www.sigmacorp.com.bo/pharmaceutics-products/oftalmologia/lubricol
[SIGMA] t=  79.1s | pag= 96 | files=   0 | data=  0 | cola=  83 | prio=50 | https://www.sigmacorp.com.bo/pharmaceutics-products/oftalmologia/nafazol
[SIGMA] t=  79.9s | pag= 97 | files=   0 | data=  0 | cola=  82 | prio=50 | https://www.sigmacorp.com.bo/pharmaceutics-products/oftalmologia/biocortil
[SIGMA] t=  80.6s | pag= 98 | files=   0 | data=  0 | cola=  81 | prio=50 | https://www.sigmacorp.com.bo/pharmaceutics-products/oftalmologia/ciprocol
[SIGMA] t=  81.5s | pag= 99 | files=   0 | data=  0 | cola=  80 | prio=50 | https://www.sigmacorp.com.bo/pharmaceutics-products/oftalmologia/cloracol
[SIGMA] t=  82.2s | pag=100 | files=   0 | data=  0 | cola=  79 | prio=50 | https://www.sigmacorp.com.bo/pharmaceutics-products/oftalmologia/cloracol-compuesto
[SIGMA] t=  83.1s | pag=101 | files=   0 | data=  0 | cola=  78 | prio=50 | https://www.sigmacorp.com.bo/pharmaceutics-products/oftalmologia/gentamicol
[SIGMA] t=  83.9s | pag=102 | files=   0 | data=  0 | cola=  77 | prio=50 | https://www.sigmacorp.com.bo/pharmaceutics-products/oftalmologia/gentamicol-compuesto
[SIGMA] t=  84.7s | pag=103 | files=   0 | data=  0 | cola=  76 | prio=50 | https://www.sigmacorp.com.bo/pharmaceutics-products/oftalmologia/glaucol-t
[SIGMA] t=  85.8s | pag=104 | files=   0 | data=  0 | cola=  75 | prio=50 | https://www.sigmacorp.com.bo/pharmaceutics-products/oftalmologia/neobet
[SIGMA] t=  86.6s | pag=105 | files=   0 | data=  0 | cola=  74 | prio=50 | https://www.sigmacorp.com.bo/pharmaceutics-products/oftalmologia/sigmaprednol
[SIGMA] t=  87.3s | pag=106 | files=   0 | data=  0 | cola=  73 | prio=50 | https://www.sigmacorp.com.bo/pharmaceutics-products/oftalmologia/tobracol
[SIGMA] t=  88.1s | pag=107 | files=   0 | data=  0 | cola=  72 | prio=50 | https://www.sigmacorp.com.bo/pharmaceutics-products/oftalmologia/tobracol-compuesto
[SIGMA] t=  88.8s | pag=108 | files=   0 | data=  0 | cola=  71 | prio=50 | https://www.sigmacorp.com.bo/pharmaceutics-products/oftalmologia/vorizol-vist
[SIGMA] t=  89.6s | pag=109 | files=   0 | data=  0 | cola=  70 | prio=50 | https://www.sigmacorp.com.bo/pharmaceutics-products/urologia/flow-0-4
[SIGMA] t=  90.2s | pag=110 | files=   0 | data=  0 | cola=  73 | prio=50 | https://www.sigmacorp.com.bo/pharmaceutics-products/urologia/ribacil
[SIGMA] t=  90.8s | pag=111 | files=   0 | data=  0 | cola=  72 | prio=50 | https://www.sigmacorp.com.bo/pharmaceutics-products/urologia/uvamin-retard
[SIGMA] t=  91.5s | pag=112 | files=   0 | data=  0 | cola=  71 | prio=50 | https://www.sigmacorp.com.bo/rse/
[SIGMA] t=  92.0s | pag=112 | files=   0 | data=  0 | cola=  70 | prio=50 | https://www.sigmacorp.com.bo/pharmaceutics-products/
[SIGMA] t=  93.6s | pag=112 | files=   0 | data=  0 | cola=  69 | prio=50 | https://www.sigmacorp.com.bo/pharmaceutics-products/analgesicos-antiinflamatorios/analgesicos-antiinflamatorios/anginova
[SIGMA] t=  95.0s | pag=112 | files=   0 | data=  0 | cola=  68 | prio=50 | https://www.sigmacorp.com.bo/pharmaceutics-products/analgesicos-antiinflamatorios/analgesicos-antiinflamatorios
[SIGMA] t=  96.6s | pag=112 | files=   0 | data=  0 | cola=  67 | prio=50 | https://www.sigmacorp.com.bo/pharmaceutics-products/analgesicos-antiinflamatorios/analgesicos-antiinflamatorios/betamex
[SIGMA] t=  97.9s | pag=112 | files=   0 | data=  0 | cola=  66 | prio=50 | https://www.sigmacorp.com.bo/pharmaceutics-products/analgesicos-antiinflamatorios/analgesicos-antiinflamatorios/dexametasona-sigma
[SIGMA] t=  99.3s | pag=112 | files=   0 | data=  0 | cola=  65 | prio=50 | https://www.sigmacorp.com.bo/pharmaceutics-products/analgesicos-antiinflamatorios/analgesicos-antiinflamatorios/diclogel
[SIGMA] t= 100.7s | pag=112 | files=   0 | data=  0 | cola=  64 | prio=50 | https://www.sigmacorp.com.bo/pharmaceutics-products/analgesicos-antiinflamatorios/analgesicos-antiinflamatorios/pirofen
[SIGMA] t= 102.0s | pag=112 | files=   0 | data=  0 | cola=  63 | prio=50 | https://www.sigmacorp.com.bo/pharmaceutics-products/analgesicos-antiinflamatorios/analgesicos-antiinflamatorios/frixo-fort
[SIGMA] t= 103.4s | pag=112 | files=   0 | data=  0 | cola=  62 | prio=50 | https://www.sigmacorp.com.bo/pharmaceutics-products/analgesicos-antiinflamatorios/analgesicos-antiinflamatorios/sigma-brom-100
[SIGMA] t= 105.0s | pag=112 | files=   0 | data=  0 | cola=  61 | prio=50 | https://www.sigmacorp.com.bo/pharmaceutics-products/analgesicos-antiinflamatorios/analgesicos-antiinflamatorios/trabit
[SIGMA] t= 106.2s | pag=112 | files=   0 | data=  0 | cola=  60 | prio=50 | https://www.sigmacorp.com.bo/pharmaceutics-products/antialergicos/antialergicos/alergito-gotas
[SIGMA] t= 107.6s | pag=112 | files=   0 | data=  0 | cola=  59 | prio=50 | https://www.sigmacorp.com.bo/pharmaceutics-products/antialergicos/antialergicos
[SIGMA] t= 109.0s | pag=112 | files=   0 | data=  0 | cola=  58 | prio=50 | https://www.sigmacorp.com.bo/pharmaceutics-products/antialergicos/antialergicos/sinalerg
[SIGMA] t= 110.3s | pag=112 | files=   0 | data=  0 | cola=  57 | prio=50 | https://www.sigmacorp.com.bo/pharmaceutics-products/antiinfecciones/antiinfecciones/positrin
[SIGMA] t= 111.8s | pag=112 | files=   0 | data=  0 | cola=  56 | prio=50 | https://www.sigmacorp.com.bo/pharmaceutics-products/antiinfecciones/antiinfecciones
[SIGMA] t= 113.6s | pag=112 | files=   0 | data=  0 | cola=  55 | prio=50 | https://www.sigmacorp.com.bo/pharmaceutics-products/antiinfecciones/antiinfecciones/taxonid
