================================================================================
CRAWLER V2
================================================================================
Fuente: International Telecommunication Union
URL configurada: https://www.itu.int
Timeout HTTP: 10 s
Pausa HTTP:   aleatoria 0.15s - 0.35s


Resolución de fuente:
  Original: https://www.itu.int
  Utilizada: https://www.itu.int/es/Pages/default.aspx
  Fallback: sí
  Intentos: 1
    - usable         | HTTP=200 | https://www.itu.int/

URL de trabajo: https://www.itu.int/es/Pages/default.aspx
Seeds: 1
Máx páginas: 200
Máx archivos: 20000
Máx profundidad: 6

[FULL_36_ITU] t=  83.6s | pag= 44 | files=  32 | data=  4 | cola= 625 | prio=10 | https://www.itu.int/en/ITU-D/Statistics/Pages/ICTprices/default.aspx
[FULL_36_ITU] DATASETS=5 | exportable_data_page | https://www.itu.int/en/ITU-D/Statistics/Pages/ICTprices/default.aspx
[FULL_36_ITU] t=  85.1s | pag= 45 | files=  39 | data=  5 | cola= 636 | prio=10 | https://www.itu.int/en/ITU-D/Statistics/Pages/expertgroups.aspx
[FULL_36_ITU] t=  86.3s | pag= 46 | files=  48 | data=  5 | cola= 665 | prio=10 | https://www.itu.int/en/ITU-D/Statistics/Pages/intlcoop/default.aspx
[FULL_36_ITU] t=  87.8s | pag= 47 | files=  52 | data=  5 | cola= 670 | prio=10 | https://www.itu.int/en/ITU-D/Statistics/Pages/definitions/default.aspx
[FULL_36_ITU] t=  89.1s | pag= 48 | files=  55 | data=  5 | cola= 673 | prio=10 | https://www.itu.int/en/ITU-D/Statistics/Pages/capacitydev/default.aspx
[FULL_36_ITU] t=  90.6s | pag= 49 | files=  55 | data=  5 | cola= 673 | prio=10 | https://www.itu.int/highlights-report-activities/connect2030/
[FULL_36_ITU] t=  94.1s | pag= 49 | files=  55 | data=  5 | cola= 672 | prio=10 | https://www.itu.int/en/ethics/Pages/helpline.aspx
[FULL_36_ITU] t=  96.3s | pag= 50 | files=  55 | data=  5 | cola= 677 | prio=10 | https://itu.int/itu-d/reports/
[FULL_36_ITU] DATASETS=6 | exportable_data_page | https://www.itu.int/itu-d/reports/statistics/connectivity-in-the-least-developed-countries-status-report-2021/
[FULL_36_ITU] t= 100.8s | pag= 51 | files=  55 | data=  6 | cola= 678 | prio=10 | https://itu.int/itu-d/reports/statistics/
[FULL_36_ITU] t= 104.4s | pag= 51 | files=  55 | data=  6 | cola= 677 | prio=10 | https://www.itu.int/itu-d/reports/statistics/facts-figures-2025/index/
[FULL_36_ITU] t= 106.4s | pag= 52 | files=  55 | data=  6 | cola= 688 | prio=10 | https://www.itu.int/hub/publication/D-IND-ICT_MDD-2025-3/
[FULL_36_ITU] t= 107.6s | pag= 53 | files=  55 | data=  6 | cola= 687 | prio=10 | https://www.itu.int/reports/council/council-reports/
[FULL_36_ITU] t= 110.5s | pag= 54 | files=  55 | data=  6 | cola= 688 | prio=10 | https://www.itu.int/reports/wtdc-snapshot-report-2025/
[FULL_36_ITU] t= 113.1s | pag= 55 | files=  57 | data=  6 | cola= 695 | prio=10 | https://www.itu.int/en/action/gender-equality/data/Pages/default.aspx
[FULL_36_ITU] DATASETS=7 | data_chart | https://www.itu.int/initiatives/gender-equality/gender-dashboard/
[FULL_36_ITU] t= 117.1s | pag= 56 | files=  57 | data=  7 | cola= 706 | prio=10 | https://www.itu.int/reports/council/snapshot-report-2024
[FULL_36_ITU] t= 121.3s | pag= 57 | files=  57 | data=  7 | cola= 711 | prio=10 | https://www.itu.int/reports/council/snapshot-report-2023
[FULL_36_ITU] t= 125.0s | pag= 58 | files=  59 | data=  7 | cola= 727 | prio=10 | https://www.itu.int/reports/council/snapshot-report-2022
[FULL_36_ITU] t= 128.6s | pag= 59 | files=  60 | data=  7 | cola= 744 | prio=10 | https://www.itu.int/reports/council/snapshot-report-2021
[FULL_36_ITU] t= 136.4s | pag= 60 | files=  61 | data=  7 | cola= 755 | prio=10 | https://www.itu.int/reports/council/snapshot-report-2020
[FULL_36_ITU] t= 141.1s | pag= 61 | files=  61 | data=  7 | cola= 754 | prio=10 | https://www.itu.int/hub?post_type=publication&s=
[FULL_36_ITU] t= 141.8s | pag= 61 | files=  61 | data=  7 | cola= 753 | prio=10 | https://www.itu.int/hub/publication/d-gen-sustain-2026/
[FULL_36_ITU] t= 145.0s | pag= 62 | files=  61 | data=  7 | cola= 758 | prio=10 | https://www.itu.int/hub/publication/t-proc-kalei-2026/
[FULL_36_ITU] t= 146.0s | pag= 63 | files=  61 | data=  7 | cola= 759 | prio=10 | https://www.itu.int/hub/publication/r-reg-rop-2025/
[FULL_36_ITU] t= 146.7s | pag= 64 | files=  61 | data=  7 | cola= 758 | prio=10 | https://www.itu.int/hub/publication/s-iab-wg-2026/
[FULL_36_ITU] t= 147.4s | pag= 65 | files=  61 | data=  7 | cola= 759 | prio=10 | https://www.itu.int/hub/publication/d-phcb-ai-ew4all-2026/
[FULL_36_ITU] t= 148.1s | pag= 66 | files=  61 | data=  7 | cola= 759 | prio=10 | https://www.itu.int/hub/publication/t-joint-citiverse-2026-9/
[FULL_36_ITU] DATASETS=8 | exportable_data_page | https://www.itu.int/hub/publication/t-joint-citiverse-2026-9/
[FULL_36_ITU] t= 148.8s | pag= 67 | files=  61 | data=  8 | cola= 760 | prio=10 | https://www.itu.int/hub/publication/t-joint-citiverse-2026-10/
[FULL_36_ITU] t= 149.5s | pag= 68 | files=  61 | data=  8 | cola= 759 | prio=10 | https://www.itu.int/hub/publication/t-joint-citiverse-2026-13/
[FULL_36_ITU] t= 150.3s | pag= 69 | files=  61 | data=  8 | cola= 758 | prio=10 | https://www.itu.int/hub/page/2/?post_type=publication&s=
[FULL_36_ITU] t= 154.8s | pag= 70 | files=  61 | data=  8 | cola= 767 | prio=10 | https://www.itu.int/hub/page/3/?post_type=publication&s=
[FULL_36_ITU] t= 161.1s | pag= 71 | files=  61 | data=  8 | cola= 779 | prio=10 | https://www.itu.int/hub/page/59/?post_type=publication&s=
[FULL_36_ITU] t= 167.0s | pag= 72 | files=  61 | data=  8 | cola= 791 | prio=10 | https://www.itu.int/hub/publication/d-pref-netp-2026/
[FULL_36_ITU] t= 168.0s | pag= 73 | files=  61 | data=  8 | cola= 790 | prio=10 | https://www.itu.int/hub/tag/ict-statistics/
[FULL_36_ITU] t= 168.7s | pag= 74 | files=  61 | data=  8 | cola= 803 | prio=10 | https://www.itu.int/itu-d/reports/statistics/facts-figures-2022/
[FULL_36_ITU] DATASETS=9 | exportable_data_page | https://www.itu.int/itu-d/reports/statistics/facts-figures-2022/
[FULL_36_ITU] t= 169.1s | pag= 75 | files=  61 | data=  9 | cola= 804 | prio=10 | https://www.itu.int/hub/publication/d-inno-profile-zambia-2026/
[FULL_36_ITU] t= 169.9s | pag= 76 | files=  61 | data=  9 | cola= 805 | prio=10 | https://www.itu.int/es/publications/gs/Pages/default.aspx
[FULL_36_ITU] t= 176.9s | pag= 77 | files=  62 | data=  9 | cola= 829 | prio=10 | https://www.itu.int/fr/publications/gs/Pages/default.aspx
[FULL_36_ITU] t= 184.1s | pag= 78 | files=  63 | data=  9 | cola= 860 | prio=10 | https://www.itu.int/en/publications/gs/_layouts/Authenticate.aspx?Source=%2Fen%2Fpublications%2Fgs%2FPages%2Fdefault.aspx
[FULL_36_ITU] t= 184.9s | pag= 78 | files=  63 | data=  9 | cola= 859 | prio=10 | https://www.itu.int/en/publications/gs/Pages/publications.aspx?lang=en&parent=S-POL-BROADBAND.24-2021
[FULL_36_ITU] t= 189.4s | pag= 79 | files=  64 | data=  9 | cola= 871 | prio=10 | https://www.itu.int/en/publications/gs/Pages/publications.aspx?lang=en&media=electronic&parent=S-POL-BROADBAND.24-2021
[FULL_36_ITU] t= 192.2s | pag= 80 | files=  64 | data=  9 | cola= 873 | prio=10 | https://www.itu.int/en/publications/gs/Pages/publications.aspx?lang=en&parent=S-CONF-PLEN-2022
[FULL_36_ITU] t= 195.4s | pag= 81 | files=  70 | data=  9 | cola= 891 | prio=10 | https://www.itu.int/en/publications/gs/Pages/publications.aspx?lang=en&media=paper&parent=S-CONF-PLEN-2022
[FULL_36_ITU] t= 198.1s | pag= 82 | files=  70 | data=  9 | cola= 893 | prio=10 | https://www.itu.int/en/publications/gs/Pages/publications.aspx?lang=en&media=electronic&parent=S-CONF-PLEN-2022
[FULL_36_ITU] t= 201.1s | pag= 83 | files=  70 | data=  9 | cola= 895 | prio=10 | https://www.itu.int/en/publications/gs/Pages/publications.aspx?lang=en&parent=S-CONF-PLEN-2019
[FULL_36_ITU] t= 204.2s | pag= 84 | files=  76 | data=  9 | cola= 900 | prio=10 | https://www.itu.int/en/publications/gs/Pages/publications.aspx?lang=en&parent=S-CONF-PLEN-2015
[FULL_36_ITU] t= 214.8s | pag= 85 | files=  88 | data=  9 | cola= 906 | prio=10 | https://www.itu.int/en/publications/gs/Pages/publications.aspx?lang=en&parent=S-CONF-PLEN-2011
[FULL_36_ITU] t= 231.8s | pag= 86 | files= 108 | data=  9 | cola= 913 | prio=10 | https://www.itu.int/en/publications/gs/Pages/publications.aspx?lang=en&parent=S-CONF-PLEN-2007
[FULL_36_ITU] t= 261.8s | pag= 87 | files= 132 | data=  9 | cola= 919 | prio=10 | https://www.itu.int/en/publications/gs/Pages/publications.aspx?lang=en&parent=S-CONF-PLEN-2003
[FULL_36_ITU] t= 266.1s | pag= 88 | files= 138 | data=  9 | cola= 924 | prio=10 | https://www.itu.int/en/publications/gs/Pages/publications.aspx?lang=en&parent=S-JOURNAL-ICTF.VOL1-2018-2
[FULL_36_ITU] DATASETS=10 | data_html_table | https://www.itu.int/pub/S-JOURNAL-ICTF.VOL1-2018-2
[FULL_36_ITU] t= 269.4s | pag= 89 | files= 154 | data= 10 | cola= 931 | prio=10 | https://www.itu.int/en/publications/gs/Pages/publications.aspx?lang=en&media=electronic&parent=S-JOURNAL-ICTF.VOL1-2018-2
[FULL_36_ITU] t= 272.1s | pag= 90 | files= 154 | data= 11 | cola= 933 | prio=10 | https://www.itu.int/en/publications/gs/Pages/publications.aspx?lang=en&parent=S-JOURNAL-ICTF.VOL1-2018-1
[FULL_36_ITU] t= 275.3s | pag= 91 | files= 170 | data= 11 | cola= 938 | prio=10 | https://www.itu.int/en/publications/gs/Pages/publications.aspx?lang=en&parent=S-POL-BROADBAND.19-2018
[FULL_36_ITU] t= 278.5s | pag= 92 | files= 171 | data= 11 | cola= 945 | prio=10 | https://www.itu.int/en/publications/gs/Pages/publications.aspx?lang=en&media=paper&parent=S-POL-BROADBAND.19-2018
[FULL_36_ITU] t= 281.4s | pag= 93 | files= 171 | data= 11 | cola= 947 | prio=10 | https://www.itu.int/en/publications/gs/Pages/publications.aspx?lang=en&media=electronic&parent=S-POL-BROADBAND.19-2018
[FULL_36_ITU] t= 284.1s | pag= 94 | files= 171 | data= 11 | cola= 949 | prio=10 | https://www.itu.int/en/publications/gs/Pages/publications.aspx?lang=en&parent=S-POL-BROADBAND.17-2016
[FULL_36_ITU] t= 287.4s | pag= 95 | files= 172 | data= 11 | cola= 956 | prio=10 | https://www.itu.int/en/publications/gs/Pages/publications.aspx?lang=en&media=paper&parent=S-POL-BROADBAND.17-2016
[FULL_36_ITU] t= 290.2s | pag= 96 | files= 172 | data= 11 | cola= 958 | prio=10 | https://www.itu.int/en/publications/gs/Pages/publications.aspx?lang=en&media=electronic&parent=S-POL-BROADBAND.17-2016
[FULL_36_ITU] t= 293.1s | pag= 97 | files= 172 | data= 11 | cola= 960 | prio=10 | https://www.itu.int/en/publications/Pages/Newreleases.aspx
[FULL_36_ITU] t= 294.1s | pag= 98 | files= 172 | data= 11 | cola= 962 | prio=10 | https://www.itu.int/en/publications/Pages/best-sellers.aspx

[BATCH] TIMEOUT DE FUENTE
