================================================================================
CRAWLER V2
================================================================================
Fuente: Ministerio de Desarrollo Rural y Tierras - OAP
URL configurada: https://www.ruralytierras.gob.bo
Timeout HTTP: 10 s
Pausa HTTP:   aleatoria 0.15s - 0.35s


Resolución de fuente:
  Original: https://www.ruralytierras.gob.bo
  Utilizada: https://ruralytierras.gob.bo/
  Fallback: sí
  Intentos: 2
    - http_error     | HTTP=500 | https://www.ruralytierras.gob.bo/
    - usable         | HTTP=200 | https://ruralytierras.gob.bo/

URL de trabajo: https://ruralytierras.gob.bo/
Seeds: 1
Máx páginas: 200
Máx archivos: 20000
Máx profundidad: 6

[FULL_38_MDRYT_OAP] t=  82.5s | pag= 81 | files=  42 | data= 12 | cola= 893 | prio=50 | https://ruralytierras.gob.bo/index.php/listado-de-convocatorias-vigentes-de-bienes-y-servicios/page/2/
[FULL_38_MDRYT_OAP] t=  82.9s | pag= 82 | files=  42 | data= 12 | cola= 894 | prio=50 | https://ruralytierras.gob.bo/index.php/listado-de-convocatorias-vigentes-de-bienes-y-servicios/page/3/
[FULL_38_MDRYT_OAP] t=  83.3s | pag= 83 | files=  42 | data= 12 | cola= 894 | prio=50 | https://ruralytierras.gob.bo/index.php/listado-de-convocatorias-vigentes-de-bienes-y-servicios/page/7/
[FULL_38_MDRYT_OAP] t=  83.7s | pag= 84 | files=  42 | data= 12 | cola= 894 | prio=50 | https://ruralytierras.gob.bo/index.php/proveedores/page/2/
[FULL_38_MDRYT_OAP] t=  84.2s | pag= 85 | files=  42 | data= 12 | cola= 895 | prio=50 | https://ruralytierras.gob.bo/index.php/proveedores/page/3/
[FULL_38_MDRYT_OAP] t=  84.6s | pag= 86 | files=  42 | data= 12 | cola= 895 | prio=50 | https://ruralytierras.gob.bo/index.php/proveedores/page/10/
[FULL_38_MDRYT_OAP] t=  85.0s | pag= 87 | files=  42 | data= 12 | cola= 896 | prio=50 | https://ruralytierras.gob.bo/index.php/enlaces-de-interes/page/2/
[FULL_38_MDRYT_OAP] t=  85.5s | pag= 88 | files=  42 | data= 12 | cola= 896 | prio=50 | https://ruralytierras.gob.bo/index.php/lista-servicios-page
[FULL_38_MDRYT_OAP] t=  86.2s | pag= 88 | files=  42 | data= 12 | cola= 895 | prio=50 | https://ruralytierras.gob.bo/index.php/analisis-externo-oportunidades-y-amenazas/
[FULL_38_MDRYT_OAP] t=  87.7s | pag= 89 | files=  42 | data= 12 | cola= 894 | prio=50 | https://ruralytierras.gob.bo/index.php/analisis-interno-fortalezas-y-debilidades/
[FULL_38_MDRYT_OAP] t=  88.2s | pag= 90 | files=  42 | data= 12 | cola= 893 | prio=50 | https://ruralytierras.gob.bo/index.php/articulos/
[FULL_38_MDRYT_OAP] t=  88.7s | pag= 91 | files=  42 | data= 12 | cola= 892 | prio=50 | https://ruralytierras.gob.bo/index.php/banco-de-trabajo-de-investigacion/
[FULL_38_MDRYT_OAP] t=  89.1s | pag= 92 | files=  42 | data= 12 | cola= 891 | prio=50 | https://ruralytierras.gob.bo/index.php/campanas-y-actividades/
[FULL_38_MDRYT_OAP] t=  89.6s | pag= 93 | files=  42 | data= 12 | cola= 890 | prio=50 | https://ruralytierras.gob.bo/index.php/componentes/
[FULL_38_MDRYT_OAP] t=  90.0s | pag= 94 | files=  43 | data= 12 | cola= 889 | prio=50 | https://ruralytierras.gob.bo/index.php/cpe/
[FULL_38_MDRYT_OAP] t=  90.3s | pag= 95 | files=  43 | data= 12 | cola= 888 | prio=50 | https://ruralytierras.gob.bo/index.php/cursos-de-capacitacion/
[FULL_38_MDRYT_OAP] t=  90.9s | pag= 96 | files=  43 | data= 12 | cola= 887 | prio=50 | https://ruralytierras.gob.bo/index.php/decretos/
[FULL_38_MDRYT_OAP] t=  91.3s | pag= 97 | files=  43 | data= 12 | cola= 886 | prio=50 | https://ruralytierras.gob.bo/index.php/dependencia/
[FULL_38_MDRYT_OAP] t=  91.8s | pag= 98 | files=  43 | data= 12 | cola= 885 | prio=50 | https://ruralytierras.gob.bo/index.php/descripcion-de-convocatorias/
[FULL_38_MDRYT_OAP] t=  92.3s | pag= 99 | files=  43 | data= 12 | cola= 884 | prio=50 | https://ruralytierras.gob.bo/index.php/descripcion-de-las-etapas-del-proceso-como-pruebas-escritas-entrevistas-evaluaciones-etc/
[FULL_38_MDRYT_OAP] t=  92.8s | pag=100 | files=  43 | data= 12 | cola= 883 | prio=50 | https://ruralytierras.gob.bo/index.php/descripcion-de-proyectos/
[FULL_38_MDRYT_OAP] t=  93.3s | pag=101 | files=  43 | data= 12 | cola= 882 | prio=50 | https://ruralytierras.gob.bo/index.php/direccion-de-correo-electronico-para-consultas-generales/
[FULL_38_MDRYT_OAP] t=  93.7s | pag=102 | files=  43 | data= 12 | cola= 881 | prio=50 | https://ruralytierras.gob.bo/index.php/direcciones-de-la-oficina-central-y-oficinas-regionales/
