================================================================================
CRAWLER V2
================================================================================
Fuente: Servicio Plurinacional de Registro de Comercio
URL configurada: https://www.seprec.gob.bo
Timeout HTTP: 10 s
Pausa HTTP:   aleatoria 0.15s - 0.35s


Resolución de fuente:
  Original: https://www.seprec.gob.bo
  Utilizada: https://www.seprec.gob.bo/
  Fallback: sí
  Intentos: 1
    - usable         | HTTP=200 | https://www.seprec.gob.bo/

URL de trabajo: https://www.seprec.gob.bo/
Seeds: 1
Máx páginas: 200
Máx archivos: 20000
Máx profundidad: 6

[FULL_47_SEPREC] t=  34.5s | pag= 41 | files= 116 | data=  1 | cola=  52 | prio=50 | https://www.seprec.gob.bo/index.php/listado-de-convocatorias-vigentes-de-bienes-y-servicios/
[FULL_47_SEPREC] t=  35.4s | pag= 42 | files= 157 | data=  1 | cola=  51 | prio=50 | https://www.seprec.gob.bo/index.php/proveedores-2/
[FULL_47_SEPREC] t=  36.1s | pag= 43 | files= 160 | data=  1 | cola=  50 | prio=50 | https://www.seprec.gob.bo/index.php/lista-direcciones-page/
[FULL_47_SEPREC] t=  37.0s | pag= 44 | files= 160 | data=  1 | cola=  49 | prio=50 | https://www.seprec.gob.bo/index.php/enlaces-de-interes/
[FULL_47_SEPREC] t=  37.7s | pag= 45 | files= 160 | data=  1 | cola=  48 | prio=50 | https://seprec.gob.bo/index.php/normativa-inter/ra-seprec-203-2026/
[FULL_47_SEPREC] t=  40.1s | pag= 46 | files= 160 | data=  1 | cola=  47 | prio=50 | https://tramites.seprec.gob.bo/
[FULL_47_SEPREC] t=  41.6s | pag= 47 | files= 160 | data=  1 | cola=  46 | prio=50 | https://miempresa.seprec.gob.bo/
[FULL_47_SEPREC] t=  43.2s | pag= 48 | files= 160 | data=  1 | cola=  45 | prio=50 | https://www.seprec.gob.bo/index.php/nota_prensa/seprec-recibe-la-certificacion-iso-90012015-y-ratifica-su-compromiso-con-la-calidad-y-la-mejora-continua/
[FULL_47_SEPREC] t=  44.0s | pag= 49 | files= 160 | data=  1 | cola=  44 | prio=50 | https://www.seprec.gob.bo/index.php/nota_prensa/seprec-amplia-hasta-el-30-de-junio-el-plazo-para-la-renovacion-de-la-matricula-de-comercio/
[FULL_47_SEPREC] t=  44.7s | pag= 50 | files= 160 | data=  1 | cola=  43 | prio=50 | https://www.seprec.gob.bo/index.php/nota_prensa/seprec-agiliza-los-tramites-empresariales-y-supera-las-200-000-transacciones-en-2025/
[FULL_47_SEPREC] t=  45.6s | pag= 51 | files= 160 | data=  1 | cola=  42 | prio=50 | https://www.seprec.gob.bo/index.php/nota_prensa/seprec-recuerda-renovacion-de-matricula-de-comercio-para-sectores-agroproductivos-vence-el-31-de-diciembre/
[FULL_47_SEPREC] t=  46.4s | pag= 52 | files= 160 | data=  1 | cola=  41 | prio=50 | https://www.seprec.gob.bo/cdn-cgi/l/email-protection
[FULL_47_SEPREC] t=  46.7s | pag= 52 | files= 160 | data=  1 | cola=  40 | prio=50 | https://seprec.gob.bo/index.php/tramite1/
[FULL_47_SEPREC] t=  48.8s | pag= 53 | files= 160 | data=  1 | cola=  40 | prio=50 | https://seprec.gob.bo/index.php/tramite2/
[FULL_47_SEPREC] t=  50.2s | pag= 54 | files= 160 | data=  1 | cola=  39 | prio=50 | https://seprec.gob.bo/index.php/tramite10/
[FULL_47_SEPREC] t=  51.3s | pag= 55 | files= 160 | data=  1 | cola=  38 | prio=50 | https://seprec.gob.bo/index.php/tramite53/
[FULL_47_SEPREC] t=  52.4s | pag= 56 | files= 160 | data=  1 | cola=  37 | prio=50 | https://seprec.gob.bo/index.php/lista-direcciones-page/
[FULL_47_SEPREC] t=  53.5s | pag= 56 | files= 160 | data=  1 | cola=  36 | prio=50 | https://seprec.gob.bo/index.php/tramite51/
[FULL_47_SEPREC] t=  55.7s | pag= 57 | files= 160 | data=  1 | cola=  35 | prio=50 | https://www.seprec.gob.bo/index.php/tramite1
[FULL_47_SEPREC] t=  56.7s | pag= 57 | files= 160 | data=  1 | cola=  33 | prio=50 | https://www.seprec.gob.bo/index.php/tramite3/
[FULL_47_SEPREC] t=  58.9s | pag= 58 | files= 160 | data=  1 | cola=  32 | prio=50 | https://www.seprec.gob.bo/index.php/tramite4/
[FULL_47_SEPREC] t=  59.7s | pag= 59 | files= 160 | data=  1 | cola=  31 | prio=50 | https://www.seprec.gob.bo/index.php/tramite5/
[FULL_47_SEPREC] t=  60.6s | pag= 60 | files= 160 | data=  1 | cola=  30 | prio=50 | https://www.seprec.gob.bo/index.php/tramite6/
