================================================================================
CRAWLER V2
================================================================================
Fuente: FINRURAL Bolivia
URL configurada: https://www.finrural.org.bo/
Timeout HTTP: 12 s
Pausa HTTP:   aleatoria 0.15s - 0.35s


Resoluci�n de fuente:
  Original: https://www.finrural.org.bo/
  Utilizada: https://www.finrural.org.bo/
  Fallback: no
  Intentos: 1
    - usable         | HTTP=200 | https://www.finrural.org.bo/

URL de trabajo: https://www.finrural.org.bo/
Seeds: 2
M�x p�ginas: 250
M�x archivos: 30000
M�x profundidad: 8
Sitemaps: activo
M�x URLs sitemap: 5000

[RETRY_08_FINRURAL_INDICADORES] SITEMAP | docs=0 | urls=0 | en_cola=0 | errores=2
[RETRY_08_FINRURAL_INDICADORES] t=   8.3s | pag=  0 | files=   0 | data=  0 | cola=   1 | prio= 0 | https://www.finrural.org.bo/
[RETRY_08_FINRURAL_INDICADORES] t=  54.6s | pag=  2 | files= 126 | data=  1 | cola= 112 | prio=10 | https://www.finrural.org.bo/archivos/info_financiera/2023/financiera_06_2023-pdf.sha
[RETRY_08_FINRURAL_INDICADORES] t=  55.9s | pag=  2 | files= 126 | data=  1 | cola= 111 | prio=10 | https://www.finrural.org.bo/archivos/info_financiera/2023/financiera_07_2023-pdf.sha
[RETRY_08_FINRURAL_INDICADORES] t=  57.2s | pag=  2 | files= 126 | data=  1 | cola= 110 | prio=10 | https://www.finrural.org.bo/archivos/info_financiera/2023/financiera_08_2023-pdf.sha
[RETRY_08_FINRURAL_INDICADORES] t=  58.4s | pag=  2 | files= 126 | data=  1 | cola= 109 | prio=10 | https://www.finrural.org.bo/archivos/info_financiera/2023/financiera_09_2023-pdf.sha
[RETRY_08_FINRURAL_INDICADORES] t=  59.6s | pag=  2 | files= 126 | data=  1 | cola= 108 | prio=10 | https://www.finrural.org.bo/archivos/info_financiera/2023/financiera_10_2023-pdf.sha
[RETRY_08_FINRURAL_INDICADORES] t=  60.7s | pag=  2 | files= 126 | data=  1 | cola= 107 | prio=10 | https://www.finrural.org.bo/archivos/info_financiera/2023/financiera_11_2023-pdf.sha
[RETRY_08_FINRURAL_INDICADORES] t=  62.1s | pag=  2 | files= 126 | data=  1 | cola= 106 | prio=10 | https://www.finrural.org.bo/archivos/info_financiera/2023/financiera_12_2023-pdf.sha
[RETRY_08_FINRURAL_INDICADORES] t=  63.1s | pag=  2 | files= 126 | data=  1 | cola= 105 | prio=10 | https://www.finrural.org.bo/archivos/info_financiera/2022/financiera_01_2022-pdf.sha
[RETRY_08_FINRURAL_INDICADORES] t=  64.3s | pag=  2 | files= 126 | data=  1 | cola= 104 | prio=10 | https://www.finrural.org.bo/archivos/info_financiera/2022/financiera_02_2022-pdf.sha
[RETRY_08_FINRURAL_INDICADORES] t=  65.5s | pag=  2 | files= 126 | data=  1 | cola= 103 | prio=10 | https://www.finrural.org.bo/archivos/info_financiera/2022/financiera_03_2022-pdf.sha
[RETRY_08_FINRURAL_INDICADORES] t=  66.8s | pag=  2 | files= 126 | data=  1 | cola= 102 | prio=10 | https://www.finrural.org.bo/archivos/info_financiera/2022/financiera_04_2022-pdf.sha
[RETRY_08_FINRURAL_INDICADORES] t=  68.0s | pag=  2 | files= 126 | data=  1 | cola= 101 | prio=10 | https://www.finrural.org.bo/archivos/info_financiera/2022/financiera_05_2022-pdf.sha
