================================================================================
CRAWLER V2
================================================================================
Fuente: Registro de Comercio de Bolivia
URL configurada: https://www.seprec.gob.bo/
Timeout HTTP: 12 s
Pausa HTTP:   aleatoria 0.15s - 0.35s


Resoluci�n de fuente:
  Original: https://www.seprec.gob.bo/
  Utilizada: https://www.seprec.gob.bo/
  Fallback: no
  Intentos: 1
    - usable         | HTTP=200 | https://www.seprec.gob.bo/

URL de trabajo: https://www.seprec.gob.bo/
Seeds: 1
M�x p�ginas: 250
M�x archivos: 30000
M�x profundidad: 8
Sitemaps: activo
M�x URLs sitemap: 5000

[RETRY_10_FUNDEMPRESA] t=  48.5s | pag= 46 | files= 160 | data=  1 | cola=  47 | prio=50 | https://tramites.seprec.gob.bo/
[RETRY_10_FUNDEMPRESA] t=  50.1s | pag= 47 | files= 160 | data=  1 | cola=  46 | prio=50 | https://miempresa.seprec.gob.bo/
[RETRY_10_FUNDEMPRESA] t=  51.6s | pag= 48 | files= 160 | data=  1 | cola=  45 | prio=50 | https://www.seprec.gob.bo/index.php/nota_prensa/seprec-recibe-la-certificacion-iso-90012015-y-ratifica-su-compromiso-con-la-calidad-y-la-mejora-continua/
[RETRY_10_FUNDEMPRESA] t=  52.5s | pag= 49 | files= 160 | data=  1 | cola=  44 | prio=50 | https://www.seprec.gob.bo/index.php/nota_prensa/seprec-amplia-hasta-el-30-de-junio-el-plazo-para-la-renovacion-de-la-matricula-de-comercio/
[RETRY_10_FUNDEMPRESA] t=  54.0s | pag= 50 | files= 160 | data=  1 | cola=  43 | prio=50 | https://www.seprec.gob.bo/index.php/nota_prensa/seprec-agiliza-los-tramites-empresariales-y-supera-las-200-000-transacciones-en-2025/
[RETRY_10_FUNDEMPRESA] t=  54.8s | pag= 51 | files= 160 | data=  1 | cola=  42 | prio=50 | https://www.seprec.gob.bo/index.php/nota_prensa/seprec-recuerda-renovacion-de-matricula-de-comercio-para-sectores-agroproductivos-vence-el-31-de-diciembre/
[RETRY_10_FUNDEMPRESA] t=  55.6s | pag= 52 | files= 160 | data=  1 | cola=  41 | prio=50 | https://www.seprec.gob.bo/cdn-cgi/l/email-protection
[RETRY_10_FUNDEMPRESA] t=  56.0s | pag= 52 | files= 160 | data=  1 | cola=  40 | prio=50 | https://seprec.gob.bo/index.php/tramite1/
[RETRY_10_FUNDEMPRESA] t=  58.4s | pag= 53 | files= 160 | data=  1 | cola=  40 | prio=50 | https://seprec.gob.bo/index.php/tramite2/
[RETRY_10_FUNDEMPRESA] t=  59.5s | pag= 54 | files= 160 | data=  1 | cola=  39 | prio=50 | https://seprec.gob.bo/index.php/tramite10/
[RETRY_10_FUNDEMPRESA] t=  60.7s | pag= 55 | files= 160 | data=  1 | cola=  38 | prio=50 | https://seprec.gob.bo/index.php/tramite53/
[RETRY_10_FUNDEMPRESA] t=  61.8s | pag= 56 | files= 160 | data=  1 | cola=  37 | prio=50 | https://seprec.gob.bo/index.php/lista-direcciones-page/
[RETRY_10_FUNDEMPRESA] t=  62.9s | pag= 56 | files= 160 | data=  1 | cola=  36 | prio=50 | https://seprec.gob.bo/index.php/tramite51/
[RETRY_10_FUNDEMPRESA] t=  65.4s | pag= 57 | files= 160 | data=  1 | cola=  35 | prio=50 | https://www.seprec.gob.bo/index.php/tramite1
[RETRY_10_FUNDEMPRESA] t=  66.5s | pag= 57 | files= 160 | data=  1 | cola=  33 | prio=50 | https://www.seprec.gob.bo/index.php/tramite3/
