================================================================================
CRAWLER V2
================================================================================
Fuente: Danmarks Statistik
URL configurada: https://www.dst.dk/en/Statistik/hjaelp-til-statistikbanken/api
Timeout HTTP: 12 s
Pausa HTTP:   aleatoria 0.15s - 0.35s


Resoluci�n de fuente:
  Original: https://www.dst.dk/en/Statistik/hjaelp-til-statistikbanken/api
  Utilizada: https://www.dst.dk/en/Statistik/hjaelp-til-statistikbanken/api
  Fallback: no
  Intentos: 1
    - usable         | HTTP=200 | https://www.dst.dk/en/Statistik/hjaelp-til-statistikbanken/api

URL de trabajo: https://www.dst.dk/en/Statistik/hjaelp-til-statistikbanken/api
Seeds: 2
M�x p�ginas: 250
M�x archivos: 30000
M�x profundidad: 8
Sitemaps: activo
M�x URLs sitemap: 5000

[RETRY_17_STATISTICS_DENMARK] SITEMAP | docs=0 | urls=0 | en_cola=0 | errores=0
[RETRY_17_STATISTICS_DENMARK] t=  47.3s | pag= 23 | files=  14 | data=  5 | cola= 207 | prio=10 | https://www.dst.dk/en/informationsservice/brug-biblioteket
[RETRY_17_STATISTICS_DENMARK] t=  48.9s | pag= 24 | files=  14 | data=  5 | cola= 210 | prio=10 | https://www.dst.dk/da/Statistik/historiske-publikationsserier
[RETRY_17_STATISTICS_DENMARK] t=  49.4s | pag= 25 | files=  14 | data=  5 | cola= 217 | prio=10 | https://www.dst.dk/da/TilSalg
[RETRY_17_STATISTICS_DENMARK] t=  49.9s | pag= 26 | files=  14 | data=  5 | cola= 216 | prio=10 | https://www.dst.dk/da/TilSalg/interview
[RETRY_17_STATISTICS_DENMARK] t=  50.5s | pag= 27 | files=  14 | data=  5 | cola= 226 | prio=10 | https://www.dst.dk/da/TilSalg/data-til-myndigheder
[RETRY_17_STATISTICS_DENMARK] t=  51.2s | pag= 28 | files=  14 | data=  5 | cola= 229 | prio=10 | https://www.dst.dk/da/Indberet/om-indberetning
[RETRY_17_STATISTICS_DENMARK] DATASETS=6 | data_html_table | https://www.dst.dk/da/Indberet/om-indberetning
[RETRY_17_STATISTICS_DENMARK] t=  51.9s | pag= 29 | files=  14 | data=  6 | cola= 237 | prio=10 | https://www.dst.dk/da/TilSalg/data-til-forskning/om-danmarks-datavindue/om-ddv-app
[RETRY_17_STATISTICS_DENMARK] t=  52.6s | pag= 30 | files=  14 | data=  6 | cola= 241 | prio=10 | https://www.dst.dk/da/TilSalg/data-til-forskning/nyt-og-meddelelser
[RETRY_17_STATISTICS_DENMARK] DATASETS=7 | data_html_table | https://www.dst.dk/da/TilSalg/data-til-forskning/nyt-og-meddelelser
[RETRY_17_STATISTICS_DENMARK] t=  59.2s | pag= 31 | files=  14 | data=  7 | cola= 292 | prio=10 | https://www.dst.dk/da/TilSalg/data-til-forskning/brugeradgang
[RETRY_17_STATISTICS_DENMARK] t=  59.6s | pag= 32 | files=  14 | data=  7 | cola= 294 | prio=10 | https://www.dst.dk/da/TilSalg/data-til-forskning/mikrodataordninger
[RETRY_17_STATISTICS_DENMARK] t=  60.2s | pag= 33 | files=  14 | data=  7 | cola= 297 | prio=10 | https://www.dst.dk/da/TilSalg/data-til-forskning/generelt-om-data
[RETRY_17_STATISTICS_DENMARK] t=  60.7s | pag= 34 | files=  14 | data=  7 | cola= 301 | prio=10 | https://www.dst.dk/da/TilSalg/data-til-forskning/autorisering-af-institutioner
[RETRY_17_STATISTICS_DENMARK] DATASETS=8 | exportable_data_page | https://www.dst.dk/da/TilSalg/data-til-forskning/autorisering-af-institutioner
[RETRY_17_STATISTICS_DENMARK] t=  61.3s | pag= 35 | files=  14 | data=  8 | cola= 304 | prio=10 | https://www.dst.dk/da/TilSalg/data-til-forskning/projektindstilling
[RETRY_17_STATISTICS_DENMARK] t=  61.8s | pag= 36 | files=  14 | data=  8 | cola= 310 | prio=10 | https://www.dst.dk/da/TilSalg/data-til-forskning/databestilling
[RETRY_17_STATISTICS_DENMARK] t=  62.3s | pag= 37 | files=  14 | data=  8 | cola= 313 | prio=10 | https://www.dst.dk/da/TilSalg/data-til-forskning/analyseplatform
[RETRY_17_STATISTICS_DENMARK] t=  63.0s | pag= 38 | files=  14 | data=  8 | cola= 315 | prio=10 | https://www.dst.dk/da/TilSalg/data-til-forskning/om-danmarks-datavindue
