================================================================================
CRAWLER V2
================================================================================
Fuente: Instituto Boliviano del Cemento y el Hormig�n
URL configurada: https://www.ibch.com/
Timeout HTTP: 12 s
Pausa HTTP:   aleatoria 0.15s - 0.35s


Resoluci�n de fuente:
  Original: https://www.ibch.com/
  Utilizada: https://www.ibch.com/
  Fallback: no
  Intentos: 1
    - usable         | HTTP=200 | https://www.ibch.com/

URL de trabajo: https://www.ibch.com/
Seeds: 2
M�x p�ginas: 250
M�x archivos: 30000
M�x profundidad: 8
Sitemaps: activo
M�x URLs sitemap: 5000

[RETRY_11_IBCH] t= 108.1s | pag= 71 | files=  33 | data=  0 | cola= 104 | prio=25 | https://www.ibch.com/curso-diseno-de-pavimentos-metodo-aashto-93-con-el-software-dipav-3/
[RETRY_11_IBCH] t= 109.2s | pag= 72 | files=  33 | data=  0 | cola= 104 | prio=25 | https://www.ibch.com/tecnico-de-pruebas-en-el-hormigon-en-obra-grado-i/
[RETRY_11_IBCH] t= 110.5s | pag= 73 | files=  33 | data=  0 | cola= 105 | prio=25 | https://www.ibch.com/supervisor-especializado-en-obras-de-hormigon/
[RETRY_11_IBCH] t= 111.6s | pag= 74 | files=  33 | data=  0 | cola= 105 | prio=25 | https://www.ibch.com/a23n23/
[RETRY_11_IBCH] t= 112.7s | pag= 75 | files=  33 | data=  0 | cola= 104 | prio=25 | https://www.ibch.com/ciclo-de-conferencias-virtuales-pavimentos-en-concreto/
[RETRY_11_IBCH] t= 113.7s | pag= 76 | files=  33 | data=  0 | cola= 104 | prio=25 | https://www.ibch.com/pub/
[RETRY_11_IBCH] t= 114.9s | pag= 77 | files=  33 | data=  0 | cola= 105 | prio=25 | https://www.ibch.com/gallery/
[RETRY_11_IBCH] t= 116.0s | pag= 78 | files=  33 | data=  0 | cola= 104 | prio=25 | https://www.ibch.com/pavimentos/videos/
[RETRY_11_IBCH] t= 117.1s | pag= 79 | files=  33 | data=  0 | cola= 102 | prio=25 | https://www.ibch.com/about-us/links/
[RETRY_11_IBCH] t= 118.2s | pag= 80 | files=  33 | data=  0 | cola= 101 | prio=25 | https://www.ibch.com/cart/
[RETRY_11_IBCH] t= 119.3s | pag= 81 | files=  33 | data=  0 | cola= 100 | prio=25 | https://www.ibch.com/checkout/
[RETRY_11_IBCH] t= 120.7s | pag= 81 | files=  33 | data=  0 | cola=  99 | prio=25 | https://www.ibch.com/my-account/
[RETRY_11_IBCH] t= 122.7s | pag= 82 | files=  33 | data=  0 | cola=  99 | prio=25 | https://www.ibch.com/vivienda/
[RETRY_11_IBCH] t= 123.6s | pag= 83 | files=  33 | data=  0 | cola=  98 | prio=25 | https://www.ibch.com/diseno-mezclas/
[RETRY_11_IBCH] t= 124.6s | pag= 84 | files=  33 | data=  0 | cola=  97 | prio=25 | https://www.ibch.com/pavimentos/galeria-de-proyectos/
[RETRY_11_IBCH] t= 126.2s | pag= 85 | files=  33 | data=  0 | cola=  96 | prio=25 | https://www.ibch.com/pavimentos/
[RETRY_11_IBCH] t= 127.1s | pag= 86 | files=  33 | data=  0 | cola=  96 | prio=10 | https://www.ibch.com/wp-content/uploads/2022/07/Ventajas_Pav_Rigido.ppsx
[RETRY_11_IBCH] t= 127.6s | pag= 86 | files=  33 | data=  0 | cola=  95 | prio=25 | https://www.ibch.com/dipav/
[RETRY_11_IBCH] t= 129.9s | pag= 87 | files=  33 | data=  0 | cola=  94 | prio=25 | https://www.ibch.com/videos-ensayos-en-obra/
[RETRY_11_IBCH] t= 130.7s | pag= 88 | files=  33 | data=  0 | cola=  93 | prio=25 | https://www.ibch.com/dipav/tutoriales/
