================================================================================
CRAWLER V2
================================================================================
Fuente: Federaci�n Internacional de F�tbol Asociaci�n
URL configurada: https://inside.fifa.com/en/official-documents
Timeout HTTP: 12 s
Pausa HTTP:   aleatoria 0.15s - 0.35s


Resoluci�n de fuente:
  Original: https://inside.fifa.com/en/official-documents
  Utilizada: https://inside.fifa.com/en/official-documents
  Fallback: no
  Intentos: 1
    - usable         | HTTP=200 | https://inside.fifa.com/en/official-documents

URL de trabajo: https://inside.fifa.com/en/official-documents
Seeds: 3
M�x p�ginas: 250
M�x archivos: 30000
M�x profundidad: 8
Sitemaps: activo
M�x URLs sitemap: 5000

[RETRY_07_FIFA] t= 159.9s | pag= 52 | files=  13 | data=  0 | cola=5345 | prio=10 | https://publications.fifa.com/en/annual-report-2022/tournaments-and-events/fifa-world-cup-quatar-2022/fifa-world-cup-qatar-2022-fifa-fan-experience/
[RETRY_07_FIFA] t= 161.3s | pag= 53 | files=  13 | data=  0 | cola=5344 | prio=10 | https://publications.fifa.com/en/annual-report-2022/tournaments-and-events/fifa-world-cup-quatar-2022/fifa-executive-summit/
[RETRY_07_FIFA] t= 162.5s | pag= 54 | files=  13 | data=  0 | cola=5343 | prio=10 | https://publications.fifa.com/en/annual-report-2022/tournaments-and-events/fifa-world-cup-quatar-2022/fifa-world-cup-qatar-2022-social-impact/
[RETRY_07_FIFA] t= 164.1s | pag= 55 | files=  13 | data=  0 | cola=5342 | prio=10 | https://publications.fifa.com/en/annual-report-2022/tournaments-and-events/fifa-world-cup-quatar-2022/fifa-world-cup-qatar-2022-in-pictures/
[RETRY_07_FIFA] t= 165.4s | pag= 56 | files=  13 | data=  0 | cola=5341 | prio=10 | https://publications.fifa.com/en/annual-report-2022/tournaments-and-events/fifa-womens-world-cup-australia-new-zealand-2023/
[RETRY_07_FIFA] t= 166.6s | pag= 57 | files=  13 | data=  0 | cola=5340 | prio=10 | https://publications.fifa.com/en/annual-report-2022/tournaments-and-events/fifa-u-20-world-cup-indonesia-2023/
[RETRY_07_FIFA] t= 168.0s | pag= 58 | files=  13 | data=  0 | cola=5339 | prio=10 | https://publications.fifa.com/en/annual-report-2022/tournaments-and-events/fifa-u-17-world-cup-peru-2023/
[RETRY_07_FIFA] t= 169.8s | pag= 59 | files=  13 | data=  0 | cola=5338 | prio=10 | https://publications.fifa.com/en/annual-report-2022/tournaments-and-events/olympic-football-tournaments-paris-2024/
[RETRY_07_FIFA] t= 171.1s | pag= 60 | files=  14 | data=  0 | cola=5337 | prio=10 | https://publications.fifa.com/en/annual-report-2022/governance-2022/72nd-fifa-congress/
[RETRY_07_FIFA] t= 173.2s | pag= 61 | files=  14 | data=  0 | cola=5338 | prio=10 | https://publications.fifa.com/en/annual-report-2022/governance-2022/fifa-council-meeting/
