================================================================================
CRAWLER V2
================================================================================
Fuente: C�mara de Exportadores de Cochabamba
URL configurada: https://cadexco.bo/
Timeout HTTP: 12 s
Pausa HTTP:   aleatoria 0.15s - 0.35s


Resoluci�n de fuente:
  Original: https://cadexco.bo/
  Utilizada: https://cadexco.bo/
  Fallback: no
  Intentos: 1
    - usable         | HTTP=200 | https://cadexco.bo/

URL de trabajo: https://cadexco.bo/
Seeds: 1
M�x p�ginas: 250
M�x archivos: 30000
M�x profundidad: 8
Sitemaps: activo
M�x URLs sitemap: 5000

[RETRY_02_CADEXCO] SITEMAP | docs=6 | urls=215 | en_cola=214 | errores=0
[RETRY_02_CADEXCO] t= 129.9s | pag= 68 | files=  16 | data=  0 | cola= 336 | prio=25 | https://cadexco.bo/evento/expocorma-2-2/
[RETRY_02_CADEXCO] t= 131.7s | pag= 69 | files=  16 | data=  0 | cola= 335 | prio=25 | https://cadexco.bo/evento/expocorma-2-3/
[RETRY_02_CADEXCO] t= 133.6s | pag= 70 | files=  16 | data=  0 | cola= 334 | prio=25 | https://cadexco.bo/evento/expocorma-2-3-2/
[RETRY_02_CADEXCO] t= 135.5s | pag= 71 | files=  16 | data=  0 | cola= 333 | prio=25 | https://cadexco.bo/evento/expocorma-2-3-2-2/
[RETRY_02_CADEXCO] t= 137.2s | pag= 72 | files=  16 | data=  0 | cola= 332 | prio=25 | https://cadexco.bo/evento/expocorma-2-3-2-2-2/
[RETRY_02_CADEXCO] t= 138.7s | pag= 73 | files=  16 | data=  0 | cola= 331 | prio=25 | https://cadexco.bo/evento/expocorma-2-3-2-2-2-2/
[RETRY_02_CADEXCO] t= 140.2s | pag= 74 | files=  16 | data=  0 | cola= 330 | prio=25 | https://cadexco.bo/evento/expocorma-2-3-2-2-2-2-2/
[RETRY_02_CADEXCO] t= 141.9s | pag= 75 | files=  16 | data=  0 | cola= 329 | prio=25 | https://cadexco.bo/evento/expocorma-2-3-2-2-2-2-2-2/
[RETRY_02_CADEXCO] t= 143.9s | pag= 76 | files=  16 | data=  0 | cola= 328 | prio=25 | https://cadexco.bo/evento/expocorma-2-3-2-2-2-2-2-2-2/
[RETRY_02_CADEXCO] t= 145.5s | pag= 77 | files=  16 | data=  0 | cola= 327 | prio=25 | https://cadexco.bo/evento/expocorma-2-3-2-2-2-2-2-2-2-2/
[RETRY_02_CADEXCO] t= 147.3s | pag= 78 | files=  16 | data=  0 | cola= 326 | prio=25 | https://cadexco.bo/evento/expocorma-2-3-2-2-2-2-2-2-2-2-2-2/
[RETRY_02_CADEXCO] t= 149.0s | pag= 79 | files=  16 | data=  0 | cola= 325 | prio=25 | https://cadexco.bo/evento/expocorma-2-3-2-2-2-2-2-2-2-2-2-2-2/
[RETRY_02_CADEXCO] t= 150.9s | pag= 80 | files=  16 | data=  0 | cola= 324 | prio=25 | https://cadexco.bo/evento/expocorma-2-3-2-2-2-2-2-2-2-2-2-2-2-2/
[RETRY_02_CADEXCO] t= 152.6s | pag= 81 | files=  16 | data=  0 | cola= 323 | prio=25 | https://cadexco.bo/evento/expocorma-2-3-2-2-2-2-2-2-2-2-2-2-2-2-2/
