================================================================================
CRAWLER V2
================================================================================
Fuente: ASFI / FINRURAL
URL configurada: https://www.asfi.gob.bo/
Timeout HTTP: 15 s
Pausa HTTP:   aleatoria 0.30s - 0.90s
Verificación TLS: activa


Resolución de fuente:
  Original: https://www.asfi.gob.bo/
  Utilizada: https://www.asfi.gob.bo/
  Fallback: no
  Intentos: 1
    - usable         | HTTP=200 | https://www.asfi.gob.bo/

URL de trabajo: https://www.asfi.gob.bo/
Seeds: 2
Máx páginas: 5000
Máx archivos: 100000
Máx profundidad: 12
Sitemaps: activo
Máx URLs sitemap: 10000

[ASFI_FINRURAL] t=  90.3s | pag= 87 | files= 451 | data=  2 | cola= 219 | prio=40 | https://www.asfi.gob.bo/pagina-lista-campanias?page=4
[ASFI_FINRURAL] t=  91.2s | pag= 88 | files= 451 | data=  2 | cola= 220 | prio=40 | https://www.asfi.gob.bo/pagina-lista-campanias?page=0
[ASFI_FINRURAL] t=  91.9s | pag= 89 | files= 451 | data=  2 | cola= 219 | prio=40 | https://www.asfi.gob.bo/pagina-lista-campanias?page=3
[ASFI_FINRURAL] t=  92.7s | pag= 90 | files= 451 | data=  2 | cola= 227 | prio=50 | https://www.asfi.gob.bo/pagina-de-comunicados
[ASFI_FINRURAL] t=  93.2s | pag= 91 | files= 461 | data=  2 | cola= 227 | prio=40 | https://www.asfi.gob.bo/pagina-de-comunicados?page=1
[ASFI_FINRURAL] t=  93.7s | pag= 92 | files= 469 | data=  2 | cola= 227 | prio=40 | https://www.asfi.gob.bo/pagina-de-comunicados?page=0
[ASFI_FINRURAL] t=  94.4s | pag= 93 | files= 469 | data=  2 | cola= 226 | prio=50 | https://www.asfi.gob.bo/pb/organigrama-institucional
[ASFI_FINRURAL] t=  95.1s | pag= 94 | files= 470 | data=  2 | cola= 225 | prio=50 | https://www.asfi.gob.bo/la/nomina-servidores
[ASFI_FINRURAL] t=  95.9s | pag= 95 | files= 471 | data=  2 | cola= 224 | prio=50 | https://www.asfi.gob.bo/escala-salarial
[ASFI_FINRURAL] t=  96.7s | pag= 96 | files= 474 | data=  2 | cola= 223 | prio=50 | https://www.asfi.gob.bo/manual-de-organizaci-n-funcional
[ASFI_FINRURAL] t=  97.2s | pag= 97 | files= 475 | data=  2 | cola= 222 | prio=50 | https://www.asfi.gob.bo/manual-de-procedimiento
[ASFI_FINRURAL] t=  97.7s | pag= 98 | files= 476 | data=  2 | cola= 221 | prio=50 | https://www.asfi.gob.bo/poais
[ASFI_FINRURAL] t=  98.3s | pag= 99 | files= 477 | data=  2 | cola= 221 | prio=50 | https://www.asfi.gob.bo/la/manual-puestos
[ASFI_FINRURAL] t=  99.2s | pag=100 | files= 500 | data=  2 | cola= 220 | prio=50 | https://www.asfi.gob.bo/oportunidad-de-empleo
[ASFI_FINRURAL] t=  99.9s | pag=101 | files= 500 | data=  2 | cola= 219 | prio=50 | https://www.asfi.gob.bo/pb/terminos-referencia-consultores-linea
[ASFI_FINRURAL] t= 100.3s | pag=102 | files= 500 | data=  2 | cola= 218 | prio=50 | https://www.asfi.gob.bo/convocatorias
[ASFI_FINRURAL] t= 100.7s | pag=103 | files= 510 | data=  2 | cola= 220 | prio=40 | https://www.asfi.gob.bo/convocatorias?page=1
[ASFI_FINRURAL] t= 101.5s | pag=104 | files= 520 | data=  2 | cola= 220 | prio=40 | https://www.asfi.gob.bo/convocatorias?page=2
[ASFI_FINRURAL] t= 102.2s | pag=105 | files= 530 | data=  2 | cola= 220 | prio=40 | https://www.asfi.gob.bo/convocatorias?page=10
[ASFI_FINRURAL] t= 104.1s | pag=106 | files= 531 | data=  2 | cola= 221 | prio=40 | https://www.asfi.gob.bo/convocatorias?page=0
[ASFI_FINRURAL] t= 104.6s | pag=107 | files= 531 | data=  2 | cola= 220 | prio=40 | https://www.asfi.gob.bo/convocatorias?page=3
[ASFI_FINRURAL] t= 105.2s | pag=108 | files= 541 | data=  2 | cola= 220 | prio=40 | https://www.asfi.gob.bo/convocatorias?page=9
[ASFI_FINRURAL] t= 105.8s | pag=109 | files= 551 | data=  2 | cola= 219 | prio=40 | https://www.asfi.gob.bo/convocatorias?page=8
[ASFI_FINRURAL] t= 106.6s | pag=110 | files= 561 | data=  2 | cola= 219 | prio=40 | https://www.asfi.gob.bo/convocatorias?page=4
[ASFI_FINRURAL] t= 107.4s | pag=111 | files= 571 | data=  2 | cola= 219 | prio=40 | https://www.asfi.gob.bo/convocatorias?page=7
[ASFI_FINRURAL] t= 108.3s | pag=112 | files= 581 | data=  2 | cola= 219 | prio=40 | https://www.asfi.gob.bo/convocatorias?page=5
[ASFI_FINRURAL] t= 108.8s | pag=113 | files= 591 | data=  2 | cola= 218 | prio=40 | https://www.asfi.gob.bo/convocatorias?page=6
[ASFI_FINRURAL] t= 109.8s | pag=114 | files= 601 | data=  2 | cola= 217 | prio=50 | https://www.asfi.gob.bo/proveedores
