================================================================================
CRAWLER V2
================================================================================
Fuente: Autoridad de Supervisión del Sistema Financiero
URL configurada: https://www.asfi.gob.bo/
Timeout HTTP: 15 s
Pausa HTTP:   aleatoria 0.30s - 0.90s
Verificación TLS: activa


Resolución de fuente:
  Original: https://www.asfi.gob.bo/
  Utilizada: https://www.asfi.gob.bo/
  Fallback: no
  Intentos: 1
    - usable         | HTTP=200 | https://www.asfi.gob.bo/

URL de trabajo: https://www.asfi.gob.bo/
Seeds: 4
Máx páginas: 5000
Máx archivos: 100000
Máx profundidad: 12
Sitemaps: activo
Máx URLs sitemap: 10000

[ASFI] t= 108.8s | pag=108 | files= 531 | data=  2 | cola= 220 | prio=40 | https://www.asfi.gob.bo/convocatorias?page=3
[ASFI] t= 109.7s | pag=109 | files= 541 | data=  2 | cola= 220 | prio=40 | https://www.asfi.gob.bo/convocatorias?page=9
[ASFI] t= 110.4s | pag=110 | files= 551 | data=  2 | cola= 219 | prio=40 | https://www.asfi.gob.bo/convocatorias?page=8
[ASFI] t= 111.3s | pag=111 | files= 561 | data=  2 | cola= 219 | prio=40 | https://www.asfi.gob.bo/convocatorias?page=4
[ASFI] t= 112.1s | pag=112 | files= 571 | data=  2 | cola= 219 | prio=40 | https://www.asfi.gob.bo/convocatorias?page=7
[ASFI] t= 112.8s | pag=113 | files= 581 | data=  2 | cola= 219 | prio=40 | https://www.asfi.gob.bo/convocatorias?page=5
[ASFI] t= 113.9s | pag=114 | files= 591 | data=  2 | cola= 218 | prio=40 | https://www.asfi.gob.bo/convocatorias?page=6
[ASFI] t= 114.6s | pag=115 | files= 601 | data=  2 | cola= 217 | prio=50 | https://www.asfi.gob.bo/proveedores
[ASFI] t= 115.8s | pag=116 | files= 603 | data=  2 | cola= 216 | prio=50 | https://www.asfi.gob.bo/pb/programa-anual-contrataciones
[ASFI] t= 117.1s | pag=117 | files= 605 | data=  2 | cola= 215 | prio=50 | https://www.asfi.gob.bo/la/normativa-internacional
[ASFI] t= 118.0s | pag=118 | files= 605 | data=  2 | cola= 214 | prio=50 | https://www.asfi.gob.bo/pb/reglamentos-vigentes
[ASFI] t= 118.5s | pag=119 | files= 613 | data=  2 | cola= 213 | prio=50 | https://www.asfi.gob.bo/pb/servicios-financieros
[ASFI] t= 119.2s | pag=120 | files= 614 | data=  2 | cola= 214 | prio=10 | https://www.asfi.gob.bo/node/402
[ASFI] t= 119.8s | pag=121 | files= 615 | data=  2 | cola= 213 | prio=50 | https://www.asfi.gob.bo/pb/registro-suscriptores-al-servicio-comunicacion
[ASFI] t= 120.5s | pag=122 | files= 615 | data=  2 | cola= 212 | prio=50 | https://www.asfi.gob.bo/pb/legislacion-y-disposiciones-para-regulados
[ASFI] t= 121.3s | pag=123 | files= 615 | data=  2 | cola= 218 | prio=50 | https://www.asfi.gob.bo/pb/decretos
[ASFI] t= 123.3s | pag=124 | files= 692 | data=  2 | cola= 217 | prio=50 | https://www.asfi.gob.bo/pb/normativa-nacional
[ASFI] t= 124.2s | pag=125 | files= 709 | data=  2 | cola= 216 | prio=50 | https://www.asfi.gob.bo/pb/registro-y-seguimiento-reclamos
[ASFI] t= 124.7s | pag=126 | files= 709 | data=  2 | cola= 215 | prio=50 | https://www.asfi.gob.bo/la/derechos-del-consumidor-financiero
[ASFI] t= 125.2s | pag=127 | files= 709 | data=  2 | cola= 214 | prio=50 | https://www.asfi.gob.bo/la/cajeros-automaticos-para-personas-discapacidad
[ASFI] t= 125.9s | pag=128 | files= 711 | data=  2 | cola= 213 | prio=50 | https://www.asfi.gob.bo/la/lineamientos-para-enif
[ASFI] t= 126.7s | pag=129 | files= 712 | data=  2 | cola= 212 | prio=50 | https://asfidigital.asfi.gob.bo/inicio
[ASFI] t= 127.9s | pag=130 | files= 712 | data=  2 | cola= 211 | prio=50 | https://www.asfi.gob.bo/pb/contratos-modelo-para-servicios-financieros
[ASFI] t= 128.4s | pag=131 | files= 712 | data=  2 | cola= 210 | prio=50 | https://asfi.gob.bo/la/tarifarios
[ASFI] DATASETS=3 | data_html_table | https://asfi.gob.bo/la/tarifarios
[ASFI] t= 150.2s | pag=132 | files= 730 | data=  3 | cola= 295 | prio= 2 | https://asfi.gob.bo/la/mercado-valores
[ASFI] t= 151.3s | pag=133 | files= 730 | data=  3 | cola= 294 | prio= 2 | https://asfi.gob.bo/pb/publicaciones-0
[ASFI] t= 152.4s | pag=134 | files= 730 | data=  3 | cola= 295 | prio= 2 | https://asfi.gob.bo/pb/publicaciones-1
[ASFI] t= 153.2s | pag=135 | files= 730 | data=  3 | cola= 297 | prio= 2 | https://asfi.gob.bo/pb/registro-mercado-valores
[ASFI] t= 153.6s | pag=136 | files= 730 | data=  3 | cola= 298 | prio= 2 | https://asfi.gob.bo/pb/publicaciones-2
[ASFI] t= 154.5s | pag=137 | files= 730 | data=  3 | cola= 302 | prio= 2 | https://asfi.gob.bo/pb/estadisticas-intermediacion-financiera
[ASFI] t= 155.1s | pag=138 | files= 730 | data=  3 | cola= 312 | prio= 2 | https://asfi.gob.bo/pb/estadisticas-mercado-valores
[ASFI] t= 156.4s | pag=139 | files= 730 | data=  3 | cola= 316 | prio= 2 | https://asfi.gob.bo/pb/datos-sobre-reclamos-y-consultas-atendidas
[ASFI] t= 157.8s | pag=140 | files= 730 | data=  3 | cola= 317 | prio= 2 | https://asfi.gob.bo/la/estadisticas-sobre-supervision-legitimacion-ganancias-ilicitas-y-financiamiento-del-terrorismo
[ASFI] DATASETS=4 | data_html_table | https://asfi.gob.bo/la/estadisticas-sobre-supervision-legitimacion-ganancias-ilicitas-y-financiamiento-del-terrorismo
[ASFI] t= 158.8s | pag=141 | files= 733 | data=  4 | cola= 316 | prio= 2 | https://asfi.gob.bo/pb/boletines-estadisticos
[ASFI] t= 160.9s | pag=142 | files= 734 | data=  4 | cola= 328 | prio= 2 | https://asfi.gob.bo/la/principales-indicadores-financieros
[ASFI] t= 161.6s | pag=143 | files= 734 | data=  4 | cola= 327 | prio= 2 | https://asfi.gob.bo/pb/boletines-estadisticos-mercado-valores
[ASFI] t= 162.1s | pag=144 | files= 734 | data=  4 | cola= 337 | prio= 2 | https://asfi.gob.bo/la/reportes-dinamicos
[ASFI] t= 163.0s | pag=145 | files= 734 | data=  4 | cola= 336 | prio= 2 | https://asfi.gob.bo/pb/estadisticas-reclamos
[ASFI] t= 163.9s | pag=146 | files= 734 | data=  4 | cola= 374 | prio=10 | https://asfi.gob.bo/pb/boletin-trimestral-actualizacion-y-emision-normativa
[ASFI] t= 164.4s | pag=147 | files= 734 | data=  4 | cola= 391 | prio=10 | https://asfi.gob.bo/pb/puntos-atenci%C3%B3n-financiera
[ASFI] t= 165.7s | pag=148 | files= 734 | data=  4 | cola= 393 | prio=10 | https://asfi.gob.bo/pagina-lista-boletines
[ASFI] t= 166.6s | pag=149 | files= 743 | data=  4 | cola= 394 | prio=10 | https://asfi.gob.bo/la/hechos-relevantes
[ASFI] t= 167.3s | pag=150 | files= 743 | data=  4 | cola= 405 | prio=10 | https://asfi.gob.bo/la/documentos-y-formularios
[ASFI] t= 167.9s | pag=151 | files= 751 | data=  4 | cola= 404 | prio=10 | https://asfi.gob.bo/node/1008
[ASFI] t= 168.5s | pag=152 | files= 752 | data=  4 | cola= 403 | prio=10 | https://asfi.gob.bo/node/1011
[ASFI] t= 169.0s | pag=153 | files= 752 | data=  4 | cola= 402 | prio=10 | https://asfi.gob.bo/node/1006
[ASFI] t= 185.3s | pag=154 | files= 769 | data=  4 | cola= 401 | prio=10 | https://asfi.gob.bo/pb/entidades-financieras-vivienda
[ASFI] t= 186.1s | pag=155 | files= 769 | data=  4 | cola= 400 | prio=10 | https://asfi.gob.bo/pb/instituciones-financieras-desarrollo
[ASFI] t= 186.9s | pag=156 | files= 769 | data=  4 | cola= 399 | prio=10 | https://asfi.gob.bo/la/1deg-reclamos-recibidos-entidades-financieras-primera-instancia-2026
[ASFI] t= 189.4s | pag=157 | files= 771 | data=  4 | cola= 398 | prio=10 | https://asfi.gob.bo/node/959
[ASFI] t= 192.4s | pag=158 | files= 773 | data=  4 | cola= 397 | prio=10 | https://asfi.gob.bo/node/962
[ASFI] t= 193.4s | pag=159 | files= 775 | data=  4 | cola= 396 | prio=10 | https://asfi.gob.bo/node/965
[ASFI] t= 194.4s | pag=160 | files= 777 | data=  4 | cola= 395 | prio=10 | https://asfi.gob.bo/node/968
[ASFI] t= 195.0s | pag=161 | files= 779 | data=  4 | cola= 394 | prio=10 | https://asfi.gob.bo/node/971
[ASFI] t= 196.0s | pag=162 | files= 781 | data=  4 | cola= 393 | prio=10 | https://asfi.gob.bo/node/974
[ASFI] t= 196.7s | pag=163 | files= 783 | data=  4 | cola= 392 | prio=10 | https://asfi.gob.bo/node/977
[ASFI] t= 197.6s | pag=164 | files= 785 | data=  4 | cola= 391 | prio=10 | https://asfi.gob.bo/node/980
[ASFI] t= 198.1s | pag=165 | files= 787 | data=  4 | cola= 390 | prio=10 | https://asfi.gob.bo/node/983
[ASFI] t= 198.6s | pag=166 | files= 789 | data=  4 | cola= 389 | prio=10 | https://asfi.gob.bo/node/986
[ASFI] t= 199.3s | pag=167 | files= 791 | data=  4 | cola= 388 | prio=10 | https://asfi.gob.bo/node/989
[ASFI] t= 200.2s | pag=168 | files= 793 | data=  4 | cola= 387 | prio=10 | https://asfi.gob.bo/node/992
[ASFI] t= 201.1s | pag=169 | files= 795 | data=  4 | cola= 386 | prio=10 | https://asfi.gob.bo/pb/puntos-atencion-financiera-eif
[ASFI] t= 202.0s | pag=170 | files= 795 | data=  4 | cola= 385 | prio=10 | https://asfi.gob.bo/pb/puntos-atencion-financiera-mv
[ASFI] t= 202.9s | pag=171 | files= 795 | data=  4 | cola= 384 | prio=10 | https://asfi.gob.bo/pb/puntos-atencion-financiera-esfc
[ASFI] t= 203.5s | pag=172 | files= 795 | data=  4 | cola= 383 | prio=10 | https://asfi.gob.bo/pagina-lista-boletines?page=1
[ASFI] t= 204.2s | pag=173 | files= 804 | data=  4 | cola= 383 | prio=10 | https://asfi.gob.bo/pagina-lista-boletines?page=2
[ASFI] t= 205.1s | pag=174 | files= 812 | data=  4 | cola= 382 | prio=10 | https://asfi.gob.bo/pagina-lista-boletines?page=0
[ASFI] t= 205.7s | pag=175 | files= 812 | data=  4 | cola= 381 | prio=50 | https://www.asfi.gob.bo/pb/tiempos-maximos-atencion-creditos
[ASFI] t= 206.1s | pag=176 | files= 836 | data=  4 | cola= 380 | prio=50 | https://www.asfi.gob.bo/pb/entidades-supervisadas-if
