================================================================================
CRAWLER V2
================================================================================
Fuente: Asociación de Instituciones Financieras de Microfinanzas de Bolivia
URL configurada: https://asofinbolivia.com/
Timeout HTTP: 15 s
Pausa HTTP:   aleatoria 0.30s - 0.90s
Verificación TLS: activa


Resolución de fuente:
  Original: https://asofinbolivia.com/
  Utilizada: https://asofinbolivia.com/
  Fallback: no
  Intentos: 1
    - usable         | HTTP=200 | https://asofinbolivia.com/

URL de trabajo: https://asofinbolivia.com/
Seeds: 12
Máx páginas: 350
Máx archivos: 1000
Máx profundidad: 4
Sitemaps: inactivo

[ASOFIN] t=  65.7s | pag= 38 | files=   7 | data=  2 | req=  38 | rej=   0 | cola= 193 | prio= 2 | https://asofinbolivia.com/index.php/2026/01/08/no-244/
[ASOFIN] ARCHIVO UTIL=8 | score=140 | pdf | https://asofinbolivia.com/wp-content/uploads/2026/01/Bol_Fin-112025_compressed.pdf
[ASOFIN] t=  67.7s | pag= 39 | files=   8 | data=  2 | req=  39 | rej=   0 | cola= 192 | prio= 2 | https://asofinbolivia.com/index.php/2025/12/05/no-243/
[ASOFIN] ARCHIVO UTIL=9 | score=140 | pdf | https://www.asofinbolivia.com/wp-content/uploads/2025/12/Bol_Fin-102025_compressed.pdf
[ASOFIN] t=  69.5s | pag= 40 | files=   9 | data=  2 | req=  40 | rej=   0 | cola= 191 | prio= 2 | https://asofinbolivia.com/index.php/2025/10/23/no-242/
[ASOFIN] ARCHIVO UTIL=10 | score=140 | pdf | https://www.asofinbolivia.com/wp-content/uploads/2025/10/Bol_Fin-092025_compressed.pdf
[ASOFIN] t=  71.0s | pag= 41 | files=  10 | data=  2 | req=  41 | rej=   0 | cola= 190 | prio= 2 | https://asofinbolivia.com/index.php/2026/08/13/no-07/
[ASOFIN] t=  72.6s | pag= 42 | files=  10 | data=  2 | req=  42 | rej=   0 | cola= 189 | prio= 2 | https://asofinbolivia.com/index.php/2026/02/11/no-06/
[ASOFIN] t=  74.5s | pag= 43 | files=  11 | data=  2 | req=  43 | rej=   0 | cola= 188 | prio= 2 | https://asofinbolivia.com/index.php/2025/08/01/no-05/
[ASOFIN] t=  77.1s | pag= 44 | files=  12 | data=  2 | req=  44 | rej=   0 | cola= 187 | prio= 2 | https://asofinbolivia.com/index.php/2025/03/06/no-04/
[ASOFIN] t=  78.4s | pag= 45 | files=  13 | data=  2 | req=  45 | rej=   0 | cola= 186 | prio= 2 | https://asofinbolivia.com/index.php/2025/03/06/no-03/
[ASOFIN] t=  80.2s | pag= 46 | files=  14 | data=  2 | req=  46 | rej=   0 | cola= 185 | prio= 2 | https://asofinbolivia.com/index.php/2024/08/28/no-02/
[ASOFIN] t=  81.8s | pag= 47 | files=  15 | data=  2 | req=  47 | rej=   0 | cola= 184 | prio= 2 | https://asofinbolivia.com/index.php/2024/05/03/no-01/
[ASOFIN] t=  83.2s | pag= 48 | files=  16 | data=  2 | req=  48 | rej=   0 | cola= 183 | prio= 2 | https://asofinbolivia.com/index.php/2025/09/26/no-241/
[ASOFIN] t=  85.0s | pag= 49 | files=  17 | data=  2 | req=  49 | rej=   0 | cola= 182 | prio= 2 | https://asofinbolivia.com/index.php/2025/08/25/no-240/
[ASOFIN] t=  86.8s | pag= 50 | files=  18 | data=  2 | req=  50 | rej=   0 | cola= 181 | prio= 2 | https://asofinbolivia.com/index.php/2025/08/01/no-239/
[ASOFIN] t=  88.7s | pag= 51 | files=  19 | data=  2 | req=  51 | rej=   0 | cola= 180 | prio= 2 | https://asofinbolivia.com/index.php/2025/06/30/no-238/
[ASOFIN] t=  90.6s | pag= 52 | files=  20 | data=  2 | req=  52 | rej=   0 | cola= 179 | prio= 2 | https://asofinbolivia.com/index.php/2025/05/28/no-237/
[ASOFIN] t=  92.1s | pag= 53 | files=  21 | data=  2 | req=  53 | rej=   0 | cola= 178 | prio= 2 | https://asofinbolivia.com/index.php/2025/04/29/no-236/
[ASOFIN] t=  93.7s | pag= 54 | files=  22 | data=  2 | req=  54 | rej=   0 | cola= 177 | prio= 2 | https://asofinbolivia.com/index.php/2025/04/09/no-235/
[ASOFIN] t=  95.1s | pag= 55 | files=  23 | data=  2 | req=  55 | rej=   0 | cola= 176 | prio= 2 | https://asofinbolivia.com/index.php/2025/03/26/no-234/
[ASOFIN] t=  96.6s | pag= 56 | files=  24 | data=  2 | req=  56 | rej=   0 | cola= 175 | prio= 2 | https://asofinbolivia.com/index.php/2025/02/13/no-233/
[ASOFIN] t=  98.3s | pag= 57 | files=  25 | data=  2 | req=  57 | rej=   0 | cola= 174 | prio= 2 | https://asofinbolivia.com/index.php/2025/01/16/no-232/
[ASOFIN] t= 100.1s | pag= 58 | files=  26 | data=  2 | req=  58 | rej=   0 | cola= 173 | prio= 2 | https://asofinbolivia.com/index.php/2025/01/09/no-231/
[ASOFIN] t= 101.6s | pag= 59 | files=  27 | data=  2 | req=  59 | rej=   0 | cola= 172 | prio= 2 | https://asofinbolivia.com/index.php/2024/11/13/no-230/
[ASOFIN] t= 102.9s | pag= 60 | files=  28 | data=  2 | req=  60 | rej=   0 | cola= 171 | prio= 2 | https://asofinbolivia.com/index.php/2024/09/30/no-229/
[ASOFIN] t= 104.5s | pag= 61 | files=  29 | data=  2 | req=  61 | rej=   0 | cola= 170 | prio= 2 | https://asofinbolivia.com/index.php/2024/08/26/no-228/
[ASOFIN] t= 106.0s | pag= 62 | files=  30 | data=  2 | req=  62 | rej=   0 | cola= 169 | prio= 2 | https://asofinbolivia.com/index.php/2024/08/08/no-227/
[ASOFIN] t= 107.5s | pag= 63 | files=  31 | data=  2 | req=  63 | rej=   0 | cola= 168 | prio= 2 | https://asofinbolivia.com/index.php/2024/07/09/no-226/
[ASOFIN] t= 109.0s | pag= 64 | files=  32 | data=  2 | req=  64 | rej=   0 | cola= 167 | prio= 2 | https://asofinbolivia.com/index.php/2024/05/28/no-225/
[ASOFIN] t= 110.8s | pag= 65 | files=  33 | data=  2 | req=  65 | rej=   0 | cola= 166 | prio= 2 | https://asofinbolivia.com/index.php/2024/05/08/no-224/
[ASOFIN] t= 112.7s | pag= 66 | files=  34 | data=  2 | req=  66 | rej=   0 | cola= 165 | prio= 2 | https://asofinbolivia.com/index.php/2024/04/03/no-223/
[ASOFIN] t= 114.6s | pag= 67 | files=  35 | data=  2 | req=  67 | rej=   0 | cola= 164 | prio= 2 | https://asofinbolivia.com/index.php/2024/02/29/no-222/
[ASOFIN] t= 116.4s | pag= 68 | files=  36 | data=  2 | req=  68 | rej=   0 | cola= 163 | prio= 2 | https://asofinbolivia.com/index.php/2024/02/01/no-221/
[ASOFIN] t= 118.2s | pag= 69 | files=  37 | data=  2 | req=  69 | rej=   0 | cola= 162 | prio= 2 | https://asofinbolivia.com/index.php/2024/01/17/no-220/
[ASOFIN] t= 119.8s | pag= 70 | files=  38 | data=  2 | req=  70 | rej=   0 | cola= 161 | prio= 2 | https://asofinbolivia.com/index.php/2023/11/21/no-219/
[ASOFIN] t= 121.6s | pag= 71 | files=  39 | data=  2 | req=  71 | rej=   0 | cola= 160 | prio= 2 | https://asofinbolivia.com/index.php/2023/10/18/no-218/
[ASOFIN] t= 123.4s | pag= 72 | files=  40 | data=  2 | req=  72 | rej=   0 | cola= 159 | prio= 2 | https://asofinbolivia.com/index.php/2023/09/20/no-217/
[ASOFIN] t= 125.3s | pag= 73 | files=  41 | data=  2 | req=  73 | rej=   0 | cola= 158 | prio= 2 | https://asofinbolivia.com/index.php/2023/08/18/no-216/
[ASOFIN] t= 126.7s | pag= 74 | files=  42 | data=  2 | req=  74 | rej=   0 | cola= 157 | prio= 2 | https://asofinbolivia.com/index.php/2023/07/20/no-215/
[ASOFIN] t= 128.5s | pag= 75 | files=  43 | data=  2 | req=  75 | rej=   0 | cola= 156 | prio= 2 | https://asofinbolivia.com/index.php/2023/07/08/no-214/
[ASOFIN] t= 130.5s | pag= 76 | files=  44 | data=  2 | req=  76 | rej=   0 | cola= 155 | prio= 2 | https://asofinbolivia.com/index.php/2023/05/19/no-213/
[ASOFIN] t= 132.4s | pag= 77 | files=  45 | data=  2 | req=  77 | rej=   0 | cola= 154 | prio= 2 | https://asofinbolivia.com/index.php/2023/04/18/no-212/
[ASOFIN] t= 134.3s | pag= 78 | files=  46 | data=  2 | req=  78 | rej=   0 | cola= 153 | prio= 2 | https://asofinbolivia.com/index.php/2023/03/27/no-211/
[ASOFIN] t= 136.3s | pag= 79 | files=  47 | data=  2 | req=  79 | rej=   0 | cola= 152 | prio= 2 | https://asofinbolivia.com/index.php/2023/03/16/no-210/
[ASOFIN] t= 138.4s | pag= 80 | files=  48 | data=  2 | req=  80 | rej=   0 | cola= 151 | prio= 2 | https://asofinbolivia.com/index.php/2023/02/22/no-209/
[ASOFIN] t= 140.0s | pag= 81 | files=  49 | data=  2 | req=  81 | rej=   0 | cola= 150 | prio= 2 | https://asofinbolivia.com/index.php/2023/01/20/no-208/
[ASOFIN] t= 141.7s | pag= 82 | files=  50 | data=  2 | req=  82 | rej=   0 | cola= 149 | prio= 2 | https://asofinbolivia.com/index.php/2022/12/06/no-207/
[ASOFIN] t= 143.5s | pag= 83 | files=  51 | data=  2 | req=  83 | rej=   0 | cola= 148 | prio= 2 | https://asofinbolivia.com/index.php/2022/10/31/no-206/
[ASOFIN] t= 145.0s | pag= 84 | files=  52 | data=  2 | req=  84 | rej=   0 | cola= 147 | prio= 2 | https://asofinbolivia.com/index.php/2022/10/31/no-205/
[ASOFIN] t= 146.4s | pag= 85 | files=  53 | data=  2 | req=  85 | rej=   0 | cola= 146 | prio= 2 | https://asofinbolivia.com/index.php/2022/10/31/no-204/
[ASOFIN] t= 148.3s | pag= 86 | files=  54 | data=  2 | req=  86 | rej=   0 | cola= 145 | prio= 2 | https://asofinbolivia.com/index.php/2022/08/19/no-203/
[ASOFIN] t= 149.7s | pag= 87 | files=  55 | data=  2 | req=  87 | rej=   0 | cola= 144 | prio= 2 | https://asofinbolivia.com/index.php/2022/07/22/no-202/
[ASOFIN] t= 151.4s | pag= 88 | files=  56 | data=  2 | req=  88 | rej=   0 | cola= 143 | prio= 2 | https://asofinbolivia.com/index.php/2022/05/30/no-201/
[ASOFIN] t= 153.3s | pag= 89 | files=  57 | data=  2 | req=  89 | rej=   0 | cola= 142 | prio= 2 | https://asofinbolivia.com/index.php/2022/05/16/no-200/
[ASOFIN] t= 154.8s | pag= 90 | files=  58 | data=  2 | req=  90 | rej=   0 | cola= 141 | prio= 2 | https://asofinbolivia.com/index.php/2022/04/01/no-199/
[ASOFIN] t= 156.3s | pag= 91 | files=  59 | data=  2 | req=  91 | rej=   0 | cola= 140 | prio= 2 | https://asofinbolivia.com/index.php/2022/03/17/no-198/
[ASOFIN] t= 157.8s | pag= 92 | files=  60 | data=  2 | req=  92 | rej=   0 | cola= 139 | prio= 2 | https://asofinbolivia.com/index.php/2022/03/17/no-197/
[ASOFIN] t= 159.4s | pag= 93 | files=  61 | data=  2 | req=  93 | rej=   0 | cola= 138 | prio= 2 | https://asofinbolivia.com/index.php/2022/03/11/no-190/
[ASOFIN] t= 161.1s | pag= 94 | files=  62 | data=  2 | req=  94 | rej=   0 | cola= 137 | prio= 2 | https://asofinbolivia.com/index.php/2022/03/11/no-189/
[ASOFIN] t= 162.5s | pag= 95 | files=  63 | data=  2 | req=  95 | rej=   0 | cola= 136 | prio= 2 | https://asofinbolivia.com/index.php/2022/03/11/no-188/
[ASOFIN] t= 164.3s | pag= 96 | files=  64 | data=  2 | req=  96 | rej=   0 | cola= 135 | prio= 2 | https://asofinbolivia.com/index.php/2022/03/11/no-187/
[ASOFIN] t= 165.8s | pag= 97 | files=  65 | data=  2 | req=  97 | rej=   0 | cola= 134 | prio= 2 | https://asofinbolivia.com/index.php/2022/03/11/no-186/
[ASOFIN] t= 167.3s | pag= 98 | files=  66 | data=  2 | req=  98 | rej=   0 | cola= 133 | prio= 2 | https://asofinbolivia.com/index.php/2022/03/11/no-185/
[ASOFIN] t= 169.2s | pag= 99 | files=  67 | data=  2 | req=  99 | rej=   0 | cola= 132 | prio= 2 | https://asofinbolivia.com/index.php/2022/03/11/no-184/
[ASOFIN] t= 170.5s | pag=100 | files=  68 | data=  2 | req= 100 | rej=   0 | cola= 131 | prio= 2 | https://asofinbolivia.com/index.php/2022/03/11/no-183/
[ASOFIN] t= 172.1s | pag=101 | files=  69 | data=  2 | req= 101 | rej=   0 | cola= 130 | prio= 2 | https://asofinbolivia.com/index.php/2022/03/11/no-182/
[ASOFIN] t= 173.7s | pag=102 | files=  70 | data=  2 | req= 102 | rej=   0 | cola= 129 | prio= 2 | https://asofinbolivia.com/index.php/2022/03/11/no-181/
[ASOFIN] t= 175.5s | pag=103 | files=  71 | data=  2 | req= 103 | rej=   0 | cola= 128 | prio= 2 | https://asofinbolivia.com/index.php/2022/03/11/no-180/
[ASOFIN] t= 177.0s | pag=104 | files=  72 | data=  2 | req= 104 | rej=   0 | cola= 127 | prio= 2 | https://asofinbolivia.com/index.php/2022/03/11/no-179/
[ASOFIN] t= 179.3s | pag=105 | files=  73 | data=  2 | req= 105 | rej=   0 | cola= 126 | prio= 2 | https://asofinbolivia.com/index.php/2022/03/11/no-178/
[ASOFIN] t= 181.2s | pag=106 | files=  74 | data=  2 | req= 106 | rej=   0 | cola= 125 | prio= 2 | https://asofinbolivia.com/index.php/2022/03/11/no-177/
[ASOFIN] t= 183.2s | pag=107 | files=  75 | data=  2 | req= 107 | rej=   0 | cola= 124 | prio= 2 | https://asofinbolivia.com/index.php/2022/03/11/no-176/
[ASOFIN] t= 184.9s | pag=108 | files=  76 | data=  2 | req= 108 | rej=   0 | cola= 123 | prio= 2 | https://asofinbolivia.com/index.php/2022/03/11/no-175/
[ASOFIN] t= 186.3s | pag=109 | files=  77 | data=  2 | req= 109 | rej=   0 | cola= 122 | prio= 2 | https://asofinbolivia.com/index.php/2022/03/11/no-174/
[ASOFIN] t= 188.0s | pag=110 | files=  78 | data=  2 | req= 110 | rej=   0 | cola= 121 | prio= 2 | https://asofinbolivia.com/index.php/2022/03/11/no-173/
[ASOFIN] t= 189.9s | pag=111 | files=  79 | data=  2 | req= 111 | rej=   0 | cola= 120 | prio= 2 | https://asofinbolivia.com/index.php/2022/03/11/no-172/
[ASOFIN] t= 191.5s | pag=112 | files=  80 | data=  2 | req= 112 | rej=   0 | cola= 119 | prio= 2 | https://asofinbolivia.com/index.php/2022/03/11/no-171/
[ASOFIN] t= 193.0s | pag=113 | files=  81 | data=  2 | req= 113 | rej=   0 | cola= 118 | prio= 2 | https://asofinbolivia.com/index.php/2022/03/11/no-170/
[ASOFIN] t= 194.5s | pag=114 | files=  82 | data=  2 | req= 114 | rej=   0 | cola= 117 | prio= 2 | https://asofinbolivia.com/index.php/2022/03/11/no-169/
[ASOFIN] t= 196.0s | pag=115 | files=  83 | data=  2 | req= 115 | rej=   0 | cola= 116 | prio= 2 | https://asofinbolivia.com/index.php/2022/03/11/no-168/
[ASOFIN] t= 198.2s | pag=116 | files=  84 | data=  2 | req= 116 | rej=   0 | cola= 115 | prio= 2 | https://asofinbolivia.com/index.php/2022/03/11/no-167/
[ASOFIN] t= 199.8s | pag=117 | files=  85 | data=  2 | req= 117 | rej=   0 | cola= 114 | prio= 2 | https://asofinbolivia.com/index.php/2022/03/11/no-166/
[ASOFIN] t= 201.3s | pag=118 | files=  86 | data=  2 | req= 118 | rej=   0 | cola= 113 | prio= 2 | https://asofinbolivia.com/index.php/2022/03/11/no-165/
[ASOFIN] t= 203.0s | pag=119 | files=  87 | data=  2 | req= 119 | rej=   0 | cola= 112 | prio= 2 | https://asofinbolivia.com/index.php/2022/03/11/no-164/
[ASOFIN] t= 204.3s | pag=120 | files=  88 | data=  2 | req= 120 | rej=   0 | cola= 111 | prio= 2 | https://asofinbolivia.com/index.php/2022/03/11/no-163/
[ASOFIN] t= 205.8s | pag=121 | files=  89 | data=  2 | req= 121 | rej=   0 | cola= 110 | prio= 2 | https://asofinbolivia.com/index.php/2022/03/11/no-162/
[ASOFIN] t= 207.5s | pag=122 | files=  90 | data=  2 | req= 122 | rej=   0 | cola= 109 | prio= 2 | https://asofinbolivia.com/index.php/2022/03/11/no-161/
[ASOFIN] t= 209.3s | pag=123 | files=  91 | data=  2 | req= 123 | rej=   0 | cola= 108 | prio= 2 | https://asofinbolivia.com/index.php/2022/03/11/no-160/
[ASOFIN] t= 210.7s | pag=124 | files=  92 | data=  2 | req= 124 | rej=   0 | cola= 107 | prio= 2 | https://asofinbolivia.com/index.php/2022/03/11/no-159/
[ASOFIN] t= 212.2s | pag=125 | files=  93 | data=  2 | req= 125 | rej=   0 | cola= 106 | prio= 2 | https://asofinbolivia.com/index.php/2022/03/11/no-158/
[ASOFIN] t= 214.1s | pag=126 | files=  94 | data=  2 | req= 126 | rej=   0 | cola= 105 | prio= 2 | https://asofinbolivia.com/index.php/2022/03/11/no-157/
[ASOFIN] t= 216.0s | pag=127 | files=  95 | data=  2 | req= 127 | rej=   0 | cola= 104 | prio= 2 | https://asofinbolivia.com/index.php/2022/03/11/no-156/
[ASOFIN] t= 217.7s | pag=128 | files=  96 | data=  2 | req= 128 | rej=   0 | cola= 103 | prio= 2 | https://asofinbolivia.com/index.php/2022/03/11/no-155/
[ASOFIN] t= 219.2s | pag=129 | files=  97 | data=  2 | req= 129 | rej=   0 | cola= 102 | prio= 2 | https://asofinbolivia.com/index.php/2022/03/11/no-154/
[ASOFIN] t= 220.9s | pag=130 | files=  98 | data=  2 | req= 130 | rej=   0 | cola= 101 | prio= 2 | https://asofinbolivia.com/index.php/2022/03/11/no-153/
[ASOFIN] t= 222.6s | pag=131 | files=  99 | data=  2 | req= 131 | rej=   0 | cola= 100 | prio= 2 | https://asofinbolivia.com/index.php/2022/03/11/no-152/
[ASOFIN] ARCHIVO UTIL=100 | score=120 | pdf | https://www.asofinbolivia.com/wp-content/uploads/2022/03/boletin152.pdf
[ASOFIN] t= 224.5s | pag=132 | files= 100 | data=  2 | req= 132 | rej=   0 | cola=  99 | prio= 2 | https://asofinbolivia.com/index.php/2022/03/11/no-151/
[ASOFIN] t= 226.6s | pag=133 | files= 101 | data=  2 | req= 133 | rej=   0 | cola=  98 | prio= 2 | https://asofinbolivia.com/index.php/2022/03/11/no-150/
