================================================================================
CRAWLER V2
================================================================================
Fuente: Autoridad de Supervisión del Sistema Financiero - Mercado de Valores
URL configurada: https://www.asfi.gob.bo/
Timeout HTTP: 15 s
Pausa HTTP:   aleatoria 0.30s - 0.90s
Verificación TLS: activa


Resolución de fuente:
  Original: https://www.asfi.gob.bo/
  Utilizada: https://www.asfi.gob.bo/
  Fallback: no
  Intentos: 1
    - usable         | HTTP=200 | https://www.asfi.gob.bo/

URL de trabajo: https://www.asfi.gob.bo/
Seeds: 2
Máx páginas: 5000
Máx archivos: 100000
Máx profundidad: 12
Sitemaps: activo
Máx URLs sitemap: 10000

[ASFI_VALORES] t=  73.5s | pag= 63 | files= 165 | data=  2 | cola= 174 | prio=50 | https://www.asfi.gob.bo/la/balance-general
[ASFI_VALORES] t=  73.9s | pag= 64 | files= 171 | data=  2 | cola= 173 | prio=50 | https://www.asfi.gob.bo/auditorias
[ASFI_VALORES] t=  74.5s | pag= 65 | files= 213 | data=  2 | cola= 176 | prio=40 | https://www.asfi.gob.bo/auditorias?page=1
[ASFI_VALORES] t=  75.0s | pag= 66 | files= 286 | data=  2 | cola= 176 | prio=40 | https://www.asfi.gob.bo/auditorias?page=2
[ASFI_VALORES] t=  75.7s | pag= 67 | files= 345 | data=  2 | cola= 175 | prio=40 | https://www.asfi.gob.bo/auditorias?page=3
[ASFI_VALORES] t=  76.4s | pag= 68 | files= 401 | data=  2 | cola= 174 | prio=40 | https://www.asfi.gob.bo/auditorias?page=4
[ASFI_VALORES] t=  76.9s | pag= 69 | files= 403 | data=  2 | cola= 173 | prio=40 | https://www.asfi.gob.bo/auditorias?page=0
[ASFI_VALORES] t=  77.8s | pag= 70 | files= 403 | data=  2 | cola= 172 | prio=50 | https://www.asfi.gob.bo/pb/gestion-denuncias-actoshechos-corrupcion
[ASFI_VALORES] t=  78.2s | pag= 71 | files= 404 | data=  2 | cola= 171 | prio=50 | https://www.asfi.gob.bo/form/solicitud-de-informacion
[ASFI_VALORES] t=  78.9s | pag= 72 | files= 404 | data=  2 | cola= 170 | prio=50 | https://www.asfi.gob.bo/rendicion
[ASFI_VALORES] t=  79.6s | pag= 73 | files= 414 | data=  2 | cola= 171 | prio=40 | https://www.asfi.gob.bo/rendicion?page=1
[ASFI_VALORES] t=  80.1s | pag= 74 | files= 431 | data=  2 | cola= 171 | prio=40 | https://www.asfi.gob.bo/rendicion?page=2
[ASFI_VALORES] t=  80.7s | pag= 75 | files= 441 | data=  2 | cola= 170 | prio=40 | https://www.asfi.gob.bo/rendicion?page=0
[ASFI_VALORES] t=  81.0s | pag= 76 | files= 441 | data=  2 | cola= 169 | prio=50 | https://www.asfi.gob.bo/la/programa-tranca-cero
[ASFI_VALORES] t=  81.8s | pag= 77 | files= 443 | data=  2 | cola= 168 | prio=50 | https://www.asfi.gob.bo/p-gina-de-notas-de-prensa
[ASFI_VALORES] t=  82.3s | pag= 78 | files= 443 | data=  2 | cola= 175 | prio=40 | https://www.asfi.gob.bo/p-gina-de-notas-de-prensa?page=1
[ASFI_VALORES] t=  83.1s | pag= 79 | files= 443 | data=  2 | cola= 184 | prio=40 | https://www.asfi.gob.bo/p-gina-de-notas-de-prensa?page=2
[ASFI_VALORES] t=  84.0s | pag= 80 | files= 443 | data=  2 | cola= 191 | prio=40 | https://www.asfi.gob.bo/p-gina-de-notas-de-prensa?page=0
[ASFI_VALORES] t=  84.5s | pag= 81 | files= 443 | data=  2 | cola= 190 | prio=50 | https://www.asfi.gob.bo/pagina-de-revistas
[ASFI_VALORES] t=  84.9s | pag= 82 | files= 445 | data=  2 | cola= 189 | prio=50 | https://www.asfi.gob.bo/pb/trabajos-investigacion
[ASFI_VALORES] t=  85.3s | pag= 83 | files= 445 | data=  2 | cola= 191 | prio= 2 | https://www.asfi.gob.bo/pb/publicaciones
[ASFI_VALORES] t=  85.8s | pag= 84 | files= 449 | data=  2 | cola= 190 | prio= 2 | https://www.asfi.gob.bo/pagina-de-otras-publicaciones
[ASFI_VALORES] t=  86.2s | pag= 85 | files= 451 | data=  2 | cola= 189 | prio=50 | https://www.asfi.gob.bo/pagina-lista-campanias
[ASFI_VALORES] t=  86.6s | pag= 86 | files= 451 | data=  2 | cola= 200 | prio=40 | https://www.asfi.gob.bo/pagina-lista-campanias?page=1
[ASFI_VALORES] t=  87.6s | pag= 87 | files= 451 | data=  2 | cola= 209 | prio=40 | https://www.asfi.gob.bo/pagina-lista-campanias?page=2
[ASFI_VALORES] t=  88.0s | pag= 88 | files= 451 | data=  2 | cola= 218 | prio=40 | https://www.asfi.gob.bo/pagina-lista-campanias?page=4
[ASFI_VALORES] t=  88.9s | pag= 89 | files= 451 | data=  2 | cola= 219 | prio=40 | https://www.asfi.gob.bo/pagina-lista-campanias?page=0
[ASFI_VALORES] t=  89.4s | pag= 90 | files= 451 | data=  2 | cola= 218 | prio=40 | https://www.asfi.gob.bo/pagina-lista-campanias?page=3
[ASFI_VALORES] t=  90.2s | pag= 91 | files= 451 | data=  2 | cola= 226 | prio=50 | https://www.asfi.gob.bo/pagina-de-comunicados
[ASFI_VALORES] t=  90.7s | pag= 92 | files= 461 | data=  2 | cola= 226 | prio=40 | https://www.asfi.gob.bo/pagina-de-comunicados?page=1
[ASFI_VALORES] t=  91.2s | pag= 93 | files= 469 | data=  2 | cola= 226 | prio=40 | https://www.asfi.gob.bo/pagina-de-comunicados?page=0
[ASFI_VALORES] t=  91.8s | pag= 94 | files= 469 | data=  2 | cola= 225 | prio=50 | https://www.asfi.gob.bo/pb/organigrama-institucional
[ASFI_VALORES] t=  92.6s | pag= 95 | files= 470 | data=  2 | cola= 224 | prio=50 | https://www.asfi.gob.bo/la/nomina-servidores
[ASFI_VALORES] t=  93.3s | pag= 96 | files= 471 | data=  2 | cola= 223 | prio=50 | https://www.asfi.gob.bo/escala-salarial
[ASFI_VALORES] t=  94.3s | pag= 97 | files= 474 | data=  2 | cola= 222 | prio=50 | https://www.asfi.gob.bo/manual-de-organizaci-n-funcional
[ASFI_VALORES] t=  94.7s | pag= 98 | files= 475 | data=  2 | cola= 221 | prio=50 | https://www.asfi.gob.bo/manual-de-procedimiento
[ASFI_VALORES] t=  95.6s | pag= 99 | files= 476 | data=  2 | cola= 220 | prio=50 | https://www.asfi.gob.bo/poais
[ASFI_VALORES] t=  96.1s | pag=100 | files= 477 | data=  2 | cola= 220 | prio=50 | https://www.asfi.gob.bo/la/manual-puestos
[ASFI_VALORES] t=  96.6s | pag=101 | files= 500 | data=  2 | cola= 219 | prio=50 | https://www.asfi.gob.bo/oportunidad-de-empleo
[ASFI_VALORES] t=  97.1s | pag=102 | files= 500 | data=  2 | cola= 218 | prio=50 | https://www.asfi.gob.bo/pb/terminos-referencia-consultores-linea
[ASFI_VALORES] t=  98.0s | pag=103 | files= 500 | data=  2 | cola= 217 | prio=50 | https://www.asfi.gob.bo/convocatorias
[ASFI_VALORES] t=  98.9s | pag=104 | files= 510 | data=  2 | cola= 219 | prio=40 | https://www.asfi.gob.bo/convocatorias?page=1
[ASFI_VALORES] t=  99.5s | pag=105 | files= 520 | data=  2 | cola= 219 | prio=40 | https://www.asfi.gob.bo/convocatorias?page=2
[ASFI_VALORES] t=  99.9s | pag=106 | files= 530 | data=  2 | cola= 219 | prio=40 | https://www.asfi.gob.bo/convocatorias?page=10
