================================================================================
CRAWLER V2
================================================================================
Fuente: Banco Central de Bolivia
URL configurada: https://www.bcb.gob.bo/
Timeout HTTP: 15 s
Pausa HTTP:   aleatoria 0.30s - 0.90s
Verificación TLS: activa


Resolución de fuente:
  Original: https://www.bcb.gob.bo/
  Utilizada: https://www.bcb.gob.bo/
  Fallback: no
  Intentos: 1
    - usable         | HTTP=200 | https://www.bcb.gob.bo/

URL de trabajo: https://www.bcb.gob.bo/
Seeds: 1
Máx páginas: 5000
Máx archivos: 100000
Máx profundidad: 12
Sitemaps: activo
Máx URLs sitemap: 10000

[BCB] t= 446.4s | pag= 63 | files=1156 | data=  4 | cola= 197 | prio= 2 | https://www.bcb.gob.bo/?page=8&q=reporte-estadistico
[BCB] t= 447.7s | pag= 64 | files=1186 | data=  4 | cola= 197 | prio= 2 | https://www.bcb.gob.bo/?page=16&q=reporte-estadistico
[BCB] t= 449.2s | pag= 65 | files=1190 | data=  4 | cola= 199 | prio= 2 | https://www.bcb.gob.bo/?page=1&q=pub_serie-compendios-encuentro-economistas-bolivia
[BCB] t= 450.7s | pag= 66 | files=1193 | data=  4 | cola= 198 | prio= 2 | https://www.bcb.gob.bo/?q=servicios%2Fufv%2Ffaqs
[BCB] t= 452.3s | pag= 67 | files=1193 | data=  4 | cola= 198 | prio= 2 | https://www.bcb.gob.bo/?q=servicios%2Fufv%2Freglamentos
[BCB] t= 454.9s | pag= 68 | files=1196 | data=  4 | cola= 197 | prio= 2 | https://www.bcb.gob.bo/librerias/indicadores/ufv/ultimo.php
[BCB] t= 455.9s | pag= 69 | files=1196 | data=  4 | cola= 197 | prio= 2 | https://www.bcb.gob.bo/?q=indicadores_inflacion&qt-indicadores_de_inflaci_n=0
[BCB] DATASETS=5 | data_html_table | https://www.bcb.gob.bo/?q=indicadores_inflacion&qt-indicadores_de_inflaci_n=0
[BCB] t= 457.4s | pag= 70 | files=1196 | data=  5 | cola= 205 | prio= 2 | https://www.bcb.gob.bo/?q=indicadores_inflacion&qt-indicadores_de_inflaci_n=1
[BCB] DATASETS=6 | data_html_table | https://www.bcb.gob.bo/?q=indicadores_inflacion&qt-indicadores_de_inflaci_n=1
[BCB] t= 458.9s | pag= 71 | files=1196 | data=  6 | cola= 213 | prio= 2 | https://www.bcb.gob.bo/?page=1&q=indicadores_inflacion
[BCB] t= 460.4s | pag= 72 | files=1196 | data=  6 | cola= 212 | prio= 2 | https://www.bcb.gob.bo/?page=2&q=indicadores_inflacion
[BCB] t= 461.6s | pag= 73 | files=1196 | data=  6 | cola= 211 | prio= 2 | https://www.bcb.gob.bo/?page=3&q=indicadores_inflacion
[BCB] t= 463.4s | pag= 74 | files=1196 | data=  6 | cola= 210 | prio= 2 | https://www.bcb.gob.bo/?page=4&q=indicadores_inflacion
[BCB] t= 464.9s | pag= 75 | files=1196 | data=  6 | cola= 209 | prio= 2 | https://www.bcb.gob.bo/?page=5&q=indicadores_inflacion
[BCB] t= 466.6s | pag= 76 | files=1196 | data=  6 | cola= 209 | prio= 2 | https://www.bcb.gob.bo/?page=6&q=indicadores_inflacion
[BCB] t= 468.3s | pag= 77 | files=1196 | data=  6 | cola= 209 | prio= 2 | https://www.bcb.gob.bo/?page=7&q=indicadores_inflacion
[BCB] t= 469.7s | pag= 78 | files=1196 | data=  6 | cola= 209 | prio= 2 | https://www.bcb.gob.bo/?page=8&q=indicadores_inflacion
[BCB] t= 471.7s | pag= 79 | files=1196 | data=  6 | cola= 209 | prio= 2 | https://www.bcb.gob.bo/?page=18&q=indicadores_inflacion
[BCB] t= 473.0s | pag= 80 | files=1196 | data=  6 | cola= 213 | prio= 2 | https://www.bcb.gob.bo/?page=1&q=pub_boletin-estadistico
[BCB] t= 474.2s | pag= 81 | files=1206 | data=  6 | cola= 212 | prio= 2 | https://www.bcb.gob.bo/?page=2&q=pub_boletin-estadistico
[BCB] t= 475.8s | pag= 82 | files=1216 | data=  6 | cola= 211 | prio= 2 | https://www.bcb.gob.bo/?page=3&q=pub_boletin-estadistico
[BCB] t= 477.7s | pag= 83 | files=1226 | data=  6 | cola= 210 | prio= 2 | https://www.bcb.gob.bo/?page=4&q=pub_boletin-estadistico
[BCB] t= 479.0s | pag= 84 | files=1236 | data=  6 | cola= 209 | prio= 2 | https://www.bcb.gob.bo/?page=5&q=pub_boletin-estadistico
[BCB] t= 480.7s | pag= 85 | files=1246 | data=  6 | cola= 208 | prio= 2 | https://www.bcb.gob.bo/?page=6&q=pub_boletin-estadistico
[BCB] t= 482.4s | pag= 86 | files=1270 | data=  6 | cola= 207 | prio= 2 | https://www.bcb.gob.bo/?page=7&q=pub_boletin-estadistico
[BCB] t= 483.9s | pag= 87 | files=1420 | data=  6 | cola= 206 | prio= 2 | https://www.bcb.gob.bo/?page=8&q=pub_boletin-estadistico
[BCB] t= 485.0s | pag= 88 | files=1525 | data=  6 | cola= 205 | prio= 2 | https://www.bcb.gob.bo/?page=1&q=publicaciones_dtr
[BCB] t= 486.7s | pag= 89 | files=1531 | data=  6 | cola= 210 | prio= 2 | https://www.bcb.gob.bo/?page=9&q=moneda-mercado-semanal
